Variety,Card Number,Player/Athlete,Team,Rookie,Parallel
Autograph Patch,APC-HD,Henry Davis,Pittsburgh Pirates,RC,
Autograph Patch,APC-HG,Hunter Goodman,Colorado Rockies,RC,
Autograph Patch,APC-HK,Heston Kjerstad,Baltimore Orioles,RC,
Autograph Patch,APC-JCA,Junior Caminero,Tampa Bay Rays,RC,
Autograph Patch,APC-JCH,Jackson Chourio,Milwaukee Brewers,RC,
Autograph Patch,APC-JDO,Jasson Domínguez,New York Yankees,RC,
Autograph Patch,APC-JH,Jung Hoo Lee,San Francisco Giants,RC,
Autograph Patch,APC-JHO,Jackson Holliday,Baltimore Orioles,RC,
Autograph Patch,APC-JJ,Jared Jones,Pittsburgh Pirates,RC,
Autograph Patch,APC-JLA,Jordan Lawlar,Arizona Diamondbacks,RC,
Autograph Patch,APC-JM,Jackson Merrill,San Diego Padres,RC,
Autograph Patch,APC-JW,Jordan Wicks,Chicago Cubs,RC,
Autograph Patch,APC-JWE,Jordan Westburg,Baltimore Orioles,RC,
Autograph Patch,APC-KH,Kyle Harrison,San Francisco Giants,RC,
Autograph Patch,APC-KP,Kyren Paris,Los Angeles Angels,RC,
Autograph Patch,APC-LB,Lawrence Butler,Oakland Athletics,RC,
Autograph Patch,APC-LM,Luis Matos,San Francisco Giants,RC,
Autograph Patch,APC-NG,Nick Gonzales,Pittsburgh Pirates,RC,
Autograph Patch,APC-NL,Nick Loftin,Kansas City Royals,RC,
Autograph Patch,APC-NM,Noelvi Marte,Cincinnati Reds,RC,
Autograph Patch,APC-NS,Nolan Schanuel,Los Angeles Angels,RC,
Autograph Patch,APC-PC,Pete Crow-Armstrong,Chicago Cubs,RC,
Autograph Patch,APC-PS,Paul Skenes,Pittsburgh Pirates,RC,
Autograph Patch,APC-RM,Ronny Mauricio,New York Mets,RC,
Autograph Patch,APC-SF,Sal Frelick,Milwaukee Brewers,RC,
Autograph Patch,APC-SI,Shota Imanaga,Chicago Cubs,RC,
Autograph Patch,APC-TB,Tyler Black,Milwaukee Brewers,RC,
Autograph Patch,APC-TS,Tyler Soderstrom,Oakland Athletics,RC,
Autograph Patch,APC-WL,Wyatt Langford,Texas Rangers,RC,
Autograph Patch,APC-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,RC,
Autograph Patch,APC-ZG,Zack Gelof,Oakland Athletics,RC,
Autographed Game Sock Relic,AGSR-AS,AJ Smith-Shawver,Atlanta Braves,RC,
Autographed Game Sock Relic,AGSR-AW,Austin Wells,New York Yankees,RC,
Autographed Game Sock Relic,AGSR-CC,Colton Cowser,Baltimore Orioles,RC,
Autographed Game Sock Relic,AGSR-CE,Christian Encarnacion-Strand,Cincinnati Reds,RC,
Autographed Game Sock Relic,AGSR-CM,Curtis Mead,Tampa Bay Rays,RC,
Autographed Game Sock Relic,AGSR-CR,Ceddanne Rafaela,Boston Red Sox,RC,
Autographed Game Sock Relic,AGSR-EC,Evan Carter,Texas Rangers,RC,
Autographed Game Sock Relic,AGSR-ED,Elly De La Cruz,Cincinnati Reds,RC,
Autographed Game Sock Relic,AGSR-EP,Everson Pereira,New York Yankees,RC,
Autographed Game Sock Relic,AGSR-HD,Henry Davis,Pittsburgh Pirates,RC,
Autographed Game Sock Relic,AGSR-HK,Heston Kjerstad,Baltimore Orioles,RC,
Autographed Game Sock Relic,AGSR-JC,Junior Caminero,Tampa Bay Rays,RC,
Autographed Game Sock Relic,AGSR-JCH,Jackson Chourio,Milwaukee Brewers,RC,
Autographed Game Sock Relic,AGSR-JD,Jasson Domínguez,New York Yankees,RC,
Autographed Game Sock Relic,AGSR-JH,Jackson Holliday,Baltimore Orioles,RC,
Autographed Game Sock Relic,AGSR-JLA,Jordan Lawlar,Arizona Diamondbacks,RC,
Autographed Game Sock Relic,AGSR-JM,Jackson Merrill,San Diego Padres,RC,
Autographed Game Sock Relic,AGSR-JW,Jordan Westburg,Baltimore Orioles,RC,
Autographed Game Sock Relic,AGSR-LB,Lawrence Butler,Oakland Athletics,RC,
Autographed Game Sock Relic,AGSR-LM,Luis Matos,San Francisco Giants,RC,
Autographed Game Sock Relic,AGSR-NG,Nick Gonzales,Pittsburgh Pirates,RC,
Autographed Game Sock Relic,AGSR-NL,Nick Loftin,Kansas City Royals,RC,
Autographed Game Sock Relic,AGSR-NM,Noelvi Marte,Cincinnati Reds,RC,
Autographed Game Sock Relic,AGSR-NS,Nolan Schanuel,Los Angeles Angels,RC,
Autographed Game Sock Relic,AGSR-PC,Pete Crow-Armstrong,Chicago Cubs,RC,
Autographed Game Sock Relic,AGSR-PS,Paul Skenes,Pittsburgh Pirates,RC,
Autographed Game Sock Relic,AGSR-RM,Ronny Mauricio,New York Mets,RC,
Autographed Game Sock Relic,AGSR-SF,Sal Frelick,Milwaukee Brewers,RC,
Autographed Game Sock Relic,AGSR-SI,Shota Imanaga,Chicago Cubs,RC,
Autographed Game Sock Relic,AGSR-TB,Tyler Black,Milwaukee Brewers,RC,
Autographed Game Sock Relic,AGSR-WA,Wilyer Abreu,Boston Red Sox,RC,
Autographed Game Sock Relic,AGSR-WL,Wyatt Langford,Texas Rangers,RC,
Autographed Game Sock Relic,AGSR-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,RC,
Autographed Game Sock Relic,AGSR-ZG,Zack Gelof,Oakland Athletics,RC,
Autographed Jumbo Hat Patch,AJHP-CC,Colton Cowser,Baltimore Orioles,RC,
Autographed Jumbo Hat Patch,AJHP-CK,Colt Keith,Detroit Tigers,RC,
Autographed Jumbo Hat Patch,AJHP-CR,Ceddanne Rafaela,Boston Red Sox,RC,
Autographed Jumbo Hat Patch,AJHP-EC,Evan Carter,Texas Rangers,RC,
Autographed Jumbo Hat Patch,AJHP-ED,Elly De La Cruz,Cincinnati Reds,RC,
Autographed Jumbo Hat Patch,AJHP-JC,Junior Caminero,Tampa Bay Rays,RC,
Autographed Jumbo Hat Patch,AJHP-JCH,Jackson Chourio,Milwaukee Brewers,RC,
Autographed Jumbo Hat Patch,AJHP-JD,Jasson Domínguez,New York Yankees,RC,
Autographed Jumbo Hat Patch,AJHP-JH,Jung Hoo Lee,San Francisco Giants,RC,
Autographed Jumbo Hat Patch,AJHP-JHO,Jackson Holliday,Baltimore Orioles,RC,
Autographed Jumbo Hat Patch,AJHP-JL,Jordan Lawlar,Arizona Diamondbacks,RC,
Autographed Jumbo Hat Patch,AJHP-JM,Jackson Merrill,San Diego Padres,RC,
Autographed Jumbo Hat Patch,AJHP-JW,Jordan Westburg,Baltimore Orioles,RC,
Autographed Jumbo Hat Patch,AJHP-PC,Pete Crow-Armstrong,Chicago Cubs,RC,
Autographed Jumbo Hat Patch,AJHP-PS,Paul Skenes,Pittsburgh Pirates,RC,
Autographed Jumbo Hat Patch,AJHP-SF,Sal Frelick,Milwaukee Brewers,RC,
Autographed Jumbo Hat Patch,AJHP-SI,Shota Imanaga,Chicago Cubs,RC,
Autographed Jumbo Hat Patch,AJHP-WL,Wyatt Langford,Texas Rangers,RC,
Autographed Jumbo Hat Patch,AJHP-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,RC,
Autographed Jumbo Hat Patch,AJHP-ZG,Zack Gelof,Oakland Athletics,RC,
Autographed Jumbo Patch,AJP-AR,Adley Rutschman,Baltimore Orioles,,
Autographed Jumbo Patch,AJP-BW,Bobby Witt Jr.,Kansas City Royals,,
Autographed Jumbo Patch,AJP-CC,Colton Cowser,Baltimore Orioles,RC,
Autographed Jumbo Patch,AJP-CCA,Corbin Carroll,Arizona Diamondbacks,,
Autographed Jumbo Patch,AJP-CE,Christian Encarnacion-Strand,Cincinnati Reds,RC,
Autographed Jumbo Patch,AJP-CR,Ceddanne Rafaela,Boston Red Sox,RC,
Autographed Jumbo Patch,AJP-EC,Evan Carter,Texas Rangers,RC,
Autographed Jumbo Patch,AJP-ED,Elly De La Cruz,Cincinnati Reds,RC,
Autographed Jumbo Patch,AJP-HD,Henry Davis,Pittsburgh Pirates,RC,
Autographed Jumbo Patch,AJP-HK,Heston Kjerstad,Baltimore Orioles,RC,
Autographed Jumbo Patch,AJP-JCA,Junior Caminero,Tampa Bay Rays,RC,
Autographed Jumbo Patch,AJP-JCH,Jackson Chourio,Milwaukee Brewers,RC,
Autographed Jumbo Patch,AJP-JD,Jasson Domínguez,New York Yankees,RC,
Autographed Jumbo Patch,AJP-JH,Jung Hoo Lee,San Francisco Giants,RC,
Autographed Jumbo Patch,AJP-JHO,Jackson Holliday,Baltimore Orioles,RC,
Autographed Jumbo Patch,AJP-JLA,Jordan Lawlar,Arizona Diamondbacks,RC,
Autographed Jumbo Patch,AJP-JM,Jackson Merrill,San Diego Padres,RC,
Autographed Jumbo Patch,AJP-JWE,Jordan Westburg,Baltimore Orioles,RC,
Autographed Jumbo Patch,AJP-NS,Nolan Schanuel,Los Angeles Angels,RC,
Autographed Jumbo Patch,AJP-PC,Pete Crow-Armstrong,Chicago Cubs,RC,
Autographed Jumbo Patch,AJP-PS,Paul Skenes,Pittsburgh Pirates,RC,
Autographed Jumbo Patch,AJP-RA,Ronald Acuña Jr.,Atlanta Braves,,
Autographed Jumbo Patch,AJP-SI,Shota Imanaga,Chicago Cubs,RC,
Autographed Jumbo Patch,AJP-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,,
Autographed Jumbo Patch,AJP-WL,Wyatt Langford,Texas Rangers,RC,
Autographed Jumbo Patch,AJP-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,RC,
Autographed Jumbo Patch,AJP-ZG,Zack Gelof,Oakland Athletics,RC,
Autographed Laundry Tag Book,ILTBC-AJ,Aaron Judge,New York Yankees,,
Autographed Laundry Tag Book,ILTBC-AW,Austin Wells,New York Yankees,RC,
Autographed Laundry Tag Book,ILTBC-BW,Bobby Witt Jr.,Kansas City Royals,,
Autographed Laundry Tag Book,ILTBC-CC,Colton Cowser,Baltimore Orioles,RC,
Autographed Laundry Tag Book,ILTBC-CM,Curtis Mead,Tampa Bay Rays,RC,
Autographed Laundry Tag Book,ILTBC-EC,Evan Carter,Texas Rangers,RC,
Autographed Laundry Tag Book,ILTBC-ED,Elly De La Cruz,Cincinnati Reds,RC,
Autographed Laundry Tag Book,ILTBC-HK,Heston Kjerstad,Baltimore Orioles,RC,
Autographed Laundry Tag Book,ILTBC-JC,Junior Caminero,Tampa Bay Rays,RC,
Autographed Laundry Tag Book,ILTBC-JCH,Jackson Chourio,Milwaukee Brewers,RC,
Autographed Laundry Tag Book,ILTBC-JD,Jasson Domínguez,New York Yankees,RC,
Autographed Laundry Tag Book,ILTBC-JH,Jung Hoo Lee,San Francisco Giants,RC,
Autographed Laundry Tag Book,ILTBC-JHO,Jackson Holliday,Baltimore Orioles,RC,
Autographed Laundry Tag Book,ILTBC-MT,Mike Trout,Los Angeles Angels,,
Autographed Laundry Tag Book,ILTBC-NM,Noelvi Marte,Cincinnati Reds,RC,
Autographed Laundry Tag Book,ILTBC-NS,Nolan Schanuel,Los Angeles Angels,RC,
Autographed Laundry Tag Book,ILTBC-PC,Pete Crow-Armstrong,Chicago Cubs,RC,
Autographed Laundry Tag Book,ILTBC-PS,Paul Skenes,Pittsburgh Pirates,RC,
Autographed Laundry Tag Book,ILTBC-RA,Ronald Acuña Jr.,Atlanta Braves,,
Autographed Laundry Tag Book,ILTBC-SF,Sal Frelick,Milwaukee Brewers,RC,
Autographed Laundry Tag Book,ILTBC-SI,Shota Imanaga,Chicago Cubs,RC,
Autographed Laundry Tag Book,ILTBC-WL,Wyatt Langford,Texas Rangers,RC,
Autographed Laundry Tag Book,ILTBC-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,RC,
Autographed Laundry Tag Book,ILTBC-ZG,Zack Gelof,Oakland Athletics,RC,
Autographed Team Logo Patch Book,ITBC-AJ,Aaron Judge,New York Yankees,,
Autographed Team Logo Patch Book,ITBC-AS,AJ Smith-Shawver,Atlanta Braves,RC,
Autographed Team Logo Patch Book,ITBC-AW,Austin Wells,New York Yankees,RC,
Autographed Team Logo Patch Book,ITBC-BW,Bobby Witt Jr.,Kansas City Royals,,
Autographed Team Logo Patch Book,ITBC-CC,Corbin Carroll,Arizona Diamondbacks,,
Autographed Team Logo Patch Book,ITBC-CCO,Colton Cowser,Baltimore Orioles,RC,
Autographed Team Logo Patch Book,ITBC-CM,Curtis Mead,Tampa Bay Rays,RC,
Autographed Team Logo Patch Book,ITBC-EC,Evan Carter,Texas Rangers,RC,
Autographed Team Logo Patch Book,ITBC-ED,Elly De La Cruz,Cincinnati Reds,RC,
Autographed Team Logo Patch Book,ITBC-HK,Heston Kjerstad,Baltimore Orioles,RC,
Autographed Team Logo Patch Book,ITBC-JC,Junior Caminero,Tampa Bay Rays,RC,
Autographed Team Logo Patch Book,ITBC-JCH,Jackson Chourio,Milwaukee Brewers,RC,
Autographed Team Logo Patch Book,ITBC-JD,Jasson Domínguez,New York Yankees,RC,
Autographed Team Logo Patch Book,ITBC-JH,Jung Hoo Lee,San Francisco Giants,RC,
Autographed Team Logo Patch Book,ITBC-JHO,Jackson Holliday,Baltimore Orioles,RC,
Autographed Team Logo Patch Book,ITBC-MT,Mike Trout,Los Angeles Angels,,
Autographed Team Logo Patch Book,ITBC-NM,Noelvi Marte,Cincinnati Reds,RC,
Autographed Team Logo Patch Book,ITBC-NS,Nolan Schanuel,Los Angeles Angels,RC,
Autographed Team Logo Patch Book,ITBC-PC,Pete Crow-Armstrong,Chicago Cubs,RC,
Autographed Team Logo Patch Book,ITBC-PS,Paul Skenes,Pittsburgh Pirates,RC,
Autographed Team Logo Patch Book,ITBC-RA,Ronald Acuña Jr.,Atlanta Braves,,
Autographed Team Logo Patch Book,ITBC-SF,Sal Frelick,Milwaukee Brewers,RC,
Autographed Team Logo Patch Book,ITBC-SI,Shota Imanaga,Chicago Cubs,RC,
Autographed Team Logo Patch Book,ITBC-WL,Wyatt Langford,Texas Rangers,RC,
Autographed Team Logo Patch Book,ITBC-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,RC,
Autographed Team Logo Patch Book,ITBC-ZG,Zack Gelof,Oakland Athletics,RC,
Base Rookie And Emerging Star Autographs,BRES-AC,Alexander Canario,Chicago Cubs,RC,
Base Rookie And Emerging Star Autographs,BRES-AP,Andy Pages,Los Angeles Dodgers,RC,
Base Rookie And Emerging Star Autographs,BRES-AS,AJ Smith-Shawver,Atlanta Braves,RC,
Base Rookie And Emerging Star Autographs,BRES-AVO,Anthony Volpe,New York Yankees,,
Base Rookie And Emerging Star Autographs,BRES-AW,Austin Wells,New York Yankees,RC,
Base Rookie And Emerging Star Autographs,BRES-BBR,Ben Brown,Chicago Cubs,RC,
Base Rookie And Emerging Star Autographs,BRES-BR,Bryan Ramos,Chicago White Sox,RC,
Base Rookie And Emerging Star Autographs,BRES-BW,Bryan Woo,Seattle Mariners,RC,
Base Rookie And Emerging Star Autographs,BRES-CC,Colton Cowser,Baltimore Orioles,RC,
Base Rookie And Emerging Star Autographs,BRES-CE,Christian Encarnacion-Strand,Cincinnati Reds,RC,
Base Rookie And Emerging Star Autographs,BRES-CK,Colt Keith,Detroit Tigers,RC,
Base Rookie And Emerging Star Autographs,BRES-CME,Curtis Mead,Tampa Bay Rays,RC,
Base Rookie And Emerging Star Autographs,BRES-CP,Connor Phillips,Cincinnati Reds,RC,
Base Rookie And Emerging Star Autographs,BRES-CRA,Ceddanne Rafaela,Boston Red Sox,RC,
Base Rookie And Emerging Star Autographs,BRES-CS,Christian Scott,New York Mets,RC,
Base Rookie And Emerging Star Autographs,BRES-DCA,Dominic Canzone,Seattle Mariners,RC,
Base Rookie And Emerging Star Autographs,BRES-DF,David Fry,Cleveland Guardians,,
Base Rookie And Emerging Star Autographs,BRES-DM,Dane Myers,Miami Marlins,RC,
Base Rookie And Emerging Star Autographs,BRES-DS,Davis Schneider,Toronto Blue Jays,RC,
Base Rookie And Emerging Star Autographs,BRES-EC,Evan Carter,Texas Rangers,RC,
Base Rookie And Emerging Star Autographs,BRES-ED,Elly De La Cruz,Cincinnati Reds,RC,
Base Rookie And Emerging Star Autographs,BRES-EP,Everson Pereira,New York Yankees,RC,
Base Rookie And Emerging Star Autographs,BRES-ER,Endy Rodríguez,Pittsburgh Pirates,RC,
Base Rookie And Emerging Star Autographs,BRES-ET,Ezequiel Tovar,Colorado Rockies,,
Base Rookie And Emerging Star Autographs,BRES-GR,Grayson Rodriguez,Baltimore Orioles,,
Base Rookie And Emerging Star Autographs,BRES-GW,Gavin Williams,Cleveland Guardians,RC,
Base Rookie And Emerging Star Autographs,BRES-HG,Hunter Goodman,Colorado Rockies,RC,
Base Rookie And Emerging Star Autographs,BRES-HK,Heston Kjerstad,Baltimore Orioles,RC,
Base Rookie And Emerging Star Autographs,BRES-JB,Jordan Beck,Colorado Rockies,RC,
Base Rookie And Emerging Star Autographs,BRES-JC,Jonatan Clase,Seattle Mariners,RC,
Base Rookie And Emerging Star Autographs,BRES-JCA,Junior Caminero,Tampa Bay Rays,RC,
Base Rookie And Emerging Star Autographs,BRES-JCH,Jackson Chourio,Milwaukee Brewers,RC,
Base Rookie And Emerging Star Autographs,BRES-JD,Jonny Deluca,Tampa Bay Rays,RC,
Base Rookie And Emerging Star Autographs,BRES-JDO,Jasson Domínguez,New York Yankees,RC,
Base Rookie And Emerging Star Autographs,BRES-JF,Justin Foscue,Texas Rangers,RC,
Base Rookie And Emerging Star Autographs,BRES-JH,Jackson Holliday,Baltimore Orioles,RC,
Base Rookie And Emerging Star Autographs,BRES-JHO,Jung Hoo Lee,San Francisco Giants,RC,
Base Rookie And Emerging Star Autographs,BRES-JJO,Jared Jones,Pittsburgh Pirates,RC,
Base Rookie And Emerging Star Autographs,BRES-JL,Joey Loperfido,Toronto Blue Jays,RC,
Base Rookie And Emerging Star Autographs,BRES-JLA,Jordan Lawlar,Arizona Diamondbacks,RC,
Base Rookie And Emerging Star Autographs,BRES-JLE,Jack Leiter,Texas Rangers,RC,
Base Rookie And Emerging Star Autographs,BRES-JM,Jackson Merrill,San Diego Padres,RC,
Base Rookie And Emerging Star Autographs,BRES-JT,Jared Triolo,Pittsburgh Pirates,RC,
Base Rookie And Emerging Star Autographs,BRES-JW,Jordan Wicks,Chicago Cubs,RC,
Base Rookie And Emerging Star Autographs,BRES-JWE,Jordan Westburg,Baltimore Orioles,RC,
Base Rookie And Emerging Star Autographs,BRES-KH,Kyle Harrison,San Francisco Giants,RC,
Base Rookie And Emerging Star Autographs,BRES-KM,Kyle Manzardo,Cleveland Guardians,RC,
Base Rookie And Emerging Star Autographs,BRES-KMC,Kyle Mccann,Oakland Athletics,RC,
Base Rookie And Emerging Star Autographs,BRES-KP,Kyren Paris,Los Angeles Angels,RC,
Base Rookie And Emerging Star Autographs,BRES-KW,Steven Kwan,Cleveland Guardians,,
Base Rookie And Emerging Star Autographs,BRES-LB,Lawrence Butler,Oakland Athletics,RC,
Base Rookie And Emerging Star Autographs,BRES-LM,Luis Matos,San Francisco Giants,RC,
Base Rookie And Emerging Star Autographs,BRES-LT,Lane Thomas,Cleveland Guardians,,
Base Rookie And Emerging Star Autographs,BRES-MH,Michael Harris II,Atlanta Braves,,
Base Rookie And Emerging Star Autographs,BRES-ML,Marco Luciano,San Francisco Giants,RC,
Base Rookie And Emerging Star Autographs,BRES-MW,Masyn Winn,St Louis Cardinals,RC,
Base Rookie And Emerging Star Autographs,BRES-NGO,Nick Gonzales,Pittsburgh Pirates,RC,
Base Rookie And Emerging Star Autographs,BRES-NH,Nico Hoerner,Chicago Cubs,,
Base Rookie And Emerging Star Autographs,BRES-NL,Nick Loftin,Kansas City Royals,RC,
Base Rookie And Emerging Star Autographs,BRES-NM,Noelvi Marte,Cincinnati Reds,RC,
Base Rookie And Emerging Star Autographs,BRES-NS,Nolan Schanuel,Los Angeles Angels,RC,
Base Rookie And Emerging Star Autographs,BRES-NU,Naoyuki Uwasawa,Boston Red Sox,RC,
Base Rookie And Emerging Star Autographs,BRES-OW,Owen White,Texas Rangers,RC,
Base Rookie And Emerging Star Autographs,BRES-PC,Pete Crow-Armstrong,Chicago Cubs,RC,
Base Rookie And Emerging Star Autographs,BRES-PM,Parker Meadows,Detroit Tigers,RC,
Base Rookie And Emerging Star Autographs,BRES-PS,Paul Skenes,Pittsburgh Pirates,RC,
Base Rookie And Emerging Star Autographs,BRES-QP,Quinn Priester,Pittsburgh Pirates,RC,
Base Rookie And Emerging Star Autographs,BRES-RB,Ronel Blanco,Houston Astros,RC,
Base Rookie And Emerging Star Autographs,BRES-RGA,Robert Gasser,Milwaukee Brewers,RC,
Base Rookie And Emerging Star Autographs,BRES-RM,Ronny Mauricio,New York Mets,RC,
Base Rookie And Emerging Star Autographs,BRES-RO,Reese Olson,Detroit Tigers,RC,
Base Rookie And Emerging Star Autographs,BRES-SC,Slade Cecconi,Arizona Diamondbacks,RC,
Base Rookie And Emerging Star Autographs,BRES-SF,Sal Frelick,Milwaukee Brewers,RC,
Base Rookie And Emerging Star Autographs,BRES-SH,Spencer Horwitz,Toronto Blue Jays,RC,
Base Rookie And Emerging Star Autographs,BRES-SI,Shota Imanaga,Chicago Cubs,RC,
Base Rookie And Emerging Star Autographs,BRES-VS,Victor Scott II,St Louis Cardinals,RC,
