Variety,Card Number,Player/Athlete,Team,Rookie,Parallel
Base,131,Austin Martin,Minnesota Twins,RC,
Base,132,Brent Rooker,Oakland Athletics,,
Base,133,Andrew Vaughn,Chicago White Sox,,
Base,134,Gio Urshela,Atlanta Braves,,
Base,135,Logan Webb,San Francisco Giants,,
Base,136,Ozzie Smith,St. Louis Cardinals,,
Base,137,Lane Thomas,Cleveland Guardians,,
Base,138,Naoyuki Uwasawa,Boston Red Sox,RC,
Base,139,Michael Young,Texas Rangers,,
Base,140,Charlie Blackmon,Colorado Rockies,,
Base,141,Jake Burger,Miami Marlins,,
Base,142,Steven Kwan,Cleveland Guardians,,
Base,143,Ozzie Albies,Atlanta Braves,,
Base,144,Kyle Harrison,San Francisco Giants,RC,
Base,145,Nolan Gorman,St. Louis Cardinals,,
Base,146,Pete Crow-Armstrong,Chicago Cubs,RC,
Base,147,Buster Posey,San Francisco Giants,,
Base,148,Christian Yelich,Milwaukee Brewers,,
Base,149,Brandon Nimmo,New York Mets,,
Base,150,Bobby Witt Jr.,Kansas City Royals,,
Base,151,Endy Rodríguez,Pittsburgh Pirates,RC,
Base,152,Ichiro,Seattle Mariners,,
Base,153,Brandon Lowe,Tampa Bay Rays,,
Base,154,Kodai Senga,New York Mets,,
Base,155,Shane Bieber,Cleveland Guardians,,
Base,156,Jackson Merrill,San Diego Padres,RC,
Base,157,Andrew Benintendi,Chicago White Sox,,
Base,158,Noelvi Marte,Cincinnati Reds,RC,
Base,159,Dylan Cease,San Diego Padres,,
Base,160,Nolan Arenado,St. Louis Cardinals,,
Base,161,Sammy Sosa,Chicago Cubs,,
Base,162,Aaron Judge,New York Yankees,,
Base,163,Kyle Schwarber,Philadelphia Phillies,,
Base,164,Matt Chapman,San Francisco Giants,,
Base,165,Marcus Semien,Texas Rangers,,
Base,166,MacKenzie Gore,Washington Nationals,,
Base,167,Trey Lipscomb,Washington Nationals,RC,
Base,168,Matt McLain,Cincinnati Reds,,
Base,169,Corbin Carroll,Arizona Diamondbacks,,
Base,170,Dave Winfield,San Diego Padres,,
Base,171,Josh Lowe,Tampa Bay Rays,,
Base,172,Seiya Suzuki,Chicago Cubs,,
Base,173,Darryl Strawberry,New York Mets,,
Base,174,Logan O'Hoppe,Los Angeles Angels,,
Base,175,JP Sears,Oakland Athletics,,
Base,176,Fernando Valenzuela,Los Angeles Dodgers,,
Base,177,Yariel Rodríguez,Toronto Blue Jays,RC,
Base,178,Roger Clemens,Boston Red Sox,,
Base,179,Emmet Sheehan,Los Angeles Dodgers,RC,
Base,180,Tarik Skubal,Detroit Tigers,,
Base,181,Justin Steele,Chicago Cubs,,
Base,182,Bryan Ramos,Chicago White Sox,RC,
Base,183,Rafael Devers,Boston Red Sox,,
Base,184,Aaron Nola,Philadelphia Phillies,,
Base,185,Daulton Varsho,Toronto Blue Jays,,
Base,186,Connor Joe,Pittsburgh Pirates,,
Base,187,Tyler Soderstrom,Oakland Athletics,RC,
Base,188,Colton Cowser,Baltimore Orioles,RC,
Base,189,Giancarlo Stanton,New York Yankees,,
Base,190,Willi Castro,Minnesota Twins,,
Base,191,Lourdes Gurriel Jr.,Arizona Diamondbacks,,
Base,192,Yordan Alvarez,Houston Astros,,
Base,193,Carlos Correa,Minnesota Twins,,
Base,194,Brayan Bello,Boston Red Sox,,
Base,195,William Contreras,Milwaukee Brewers,,
Base,196,Mitch Garver,Seattle Mariners,,
Base,197,Alex Verdugo,New York Yankees,,
Base,198,Will Smith,Los Angeles Dodgers,,
Base,199,Wyatt Langford,Texas Rangers,RC,
Base,200,Paul Skenes,Pittsburgh Pirates,RC,
Base,201,Lou Gehrig,New York Yankees,,
Base,202,Ted Williams,Boston Red Sox,,
Base,203,J.P. Crawford,Seattle Mariners,,
Base,204,Masyn Winn,St. Louis Cardinals,RC,
Base,205,Justin Verlander,Houston Astros,,
Base,206,Riley Greene,Detroit Tigers,,
Base,207,Emmanuel Clase,Cleveland Guardians,,
Base,208,Patrick Bailey,San Francisco Giants,,
Base,209,Austin Wells,New York Yankees,RC,
Base,210,Luis Arraez,San Diego Padres,,
Base,211,Corbin Burnes,Baltimore Orioles,,
Base,212,Jeimer Candelario,Cincinnati Reds,,
Base,213,Satchel Paige,St. Louis Browns,,
Base,214,Carl Yastzresmki,Boston Red Sox,,
Base,215,Gabriel Moreno,Arizona Diamondbacks,,
Base,216,Masataka Yoshida,Boston Red Sox,,
Base,217,Mike Trout,Los Angeles Angels,,
Base,218,Nick Nastrini,Chicago White Sox,RC,
Base,219,Zack Wheeler,Philadelphia Phillies,,
Base,220,MJ Melendez,Kansas City Royals,,
Base,221,David Wright,New York Mets,,
Base,222,Quinn Priester,Boston Red Sox,RC,
Base,223,Evan Carter,Texas Rangers,RC,
Base,224,Sonny Gray,St. Louis Cardinals,,
Base,225,Ezequiel Tovar,Colorado Rockies,,
Base,226,Ben Brown,Chicago Cubs,RC,
Base,227,Nick Gonzales,Pittsburgh Pirates,RC,
Base,228,Oneil Cruz,Pittsburgh Pirates,,
Base,229,Ryan Jeffers,Minnesota Twins,,
Base,230,Matt Olson,Atlanta Braves,,
Base,231,Tim Anderson,Miami Marlins,,
Base,232,Luis Robert Jr.,Chicago White Sox,,
Base,233,George Brett,Kansas City Royals,,
Base,234,Jurickson Profar,San Diego Padres,,
Base,235,Jordan Westburg,Baltimore Orioles,RC,
Base,236,Gleyber Torres,New York Yankees,,
Base,237,Ke'Bryan Hayes,Pittsburgh Pirates,,
Base,238,Christopher Morel,Tampa Bay Rays,,
Base,239,Sandy Koufax,Los Angeles Dodgers,,
Base,240,Jesús Luzardo,Miami Marlins,,
Base,241,Zack Gelof,Oakland Athletics,RC,
Base,242,Kyle Tucker,Houston Astros,,
Base,243,Adolis García,Texas Rangers,,
Base,244,Edwin Díaz,New York Mets,,
Base,245,Shota Imanaga,Chicago Cubs,RC,
Base,246,Randy Arozarena,Seattle Mariners,,
Base,247,Francisco Lindor,New York Mets,,
Base,248,Michael Harris II,Atlanta Braves,,
Base,249,Johan Rojas,Philadelphia Phillies,RC,
Base,250,Shohei Ohtani,Los Angeles Dodgers,,
Base,251,Sal Frelick,Milwaukee Brewers,RC,
Base,252,Rhys Hoskins,Milwaukee Brewers,,
Base,253,Mitch Haniger,Seattle Mariners,,
Base,254,Brenton Doyle,Colorado Rockies,,
Base,255,Mason Miller,Oakland Athletics,,
Base,256,Joe Torre,St. Louis Cardinals,,
Base,257,Jarren Duran,Boston Red Sox,,
Base,258,Ernie Banks,Chicago Cubs,,
Base,259,Teoscar Hernández,Los Angeles Dodgers,,
Base,260,Kevin Pillar,Los Angeles Angels,,
Base,261,Vinnie Pasquantino,Kansas City Royals,,
Base,262,Chase Utley,Philadelphia Phillies,,
Base,263,Corey Seager,Texas Rangers,,
Base,264,Stan Musial,St. Louis Cardinals,,
Base,265,Rod Carew,Minnesota Twins,,
Base,266,Ceddanne Rafaela,Boston Red Sox,RC,
Base,267,Cedric Mullins,Baltimore Orioles,,
Base,268,Max Schuemann,Oakland Athletics,RC,
Base,269,Justin Turner,Seattle Mariners,,
Base,270,Willie Mays,New York Giants,,
Base,271,Joey Ortiz,Milwaukee Brewers,,
Base,272,Colt Keith,Detroit Tigers,RC,
Base,273,Jordan Beck,Colorado Rockies,RC,
Base,274,Bo Bichette,Toronto Blue Jays,,
Base,275,Keibert Ruiz,Washington Nationals,,
Base,276,Monte Irvin,New York Giants,,
Base,277,Shane McClanahan,Tampa Bay Rays,,
Base,278,Billy Williams,Chicago Cubs,,
Base,279,Ronel Blanco,Houston Astros,RC,
Base,280,Joey Loperfido,Toronto Blue Jays,RC,
Base,281,Jordan Montgomery,Arizona Diamondbacks,,
Base,282,Kerry Carpenter,Detroit Tigers,,
Base,283,Paul Goldschmidt,St. Louis Cardinals,,
Base,284,Babe Ruth,New York Yankees,,
Base,285,Michael Conforto,San Francisco Giants,,
Base,286,José Ramírez,Cleveland Guardians,,
Base,287,Sean Murphy,Atlanta Braves,,
Base,288,Byron Buxton,Minnesota Twins,,
Base,289,Juan Soto,New York Yankees,,
Base,290,Tyler Black,Milwaukee Brewers,RC,
Base,291,Johan Santana,Minnesota Twins,,
Base,292,Trea Turner,Philadelphia Phillies,,
Base,293,Jackson Holliday,Baltimore Orioles,RC,
Base,294,CJ Abrams,Washington Nationals,,
Base,295,Andy Pages,Los Angeles Dodgers,RC,
Base,296,Hank Aaron,Milwaukee Braves,,
Base,297,Alexis Díaz,Cincinnati Reds,,
Base,298,Bill Mazeroski,Pittsburgh Pirates,,
Base,299,Cody Bellinger,Chicago Cubs,,
Base,300,Elly De La Cruz,Cincinnati Reds,RC,
1961 Topps Design Variations,1,Jasson Domínguez,New York Yankees,,
1961 Topps Design Variations,7,Henry Davis,Pittsburgh Pirates,,
1961 Topps Design Variations,8,Nolan Schanuel,Los Angeles Angels,,
1961 Topps Design Variations,10,Thurman Munson,New York Yankees,,
1961 Topps Design Variations,11,Heston Kjerstad,Baltimore Orioles,,
1961 Topps Design Variations,12,Jared Jones,Pittsburgh Pirates,,
1961 Topps Design Variations,14,Pedro Martinez,Boston Red Sox,,
1961 Topps Design Variations,18,Pete Alonso,New York Mets,,
1961 Topps Design Variations,24,Jacob deGrom,Texas Rangers,,
1961 Topps Design Variations,30,Max Scherzer,Texas Rangers,,
1961 Topps Design Variations,31,Justin Foscue,Texas Rangers,,
1961 Topps Design Variations,33,Junior Caminero,Tampa Bay Rays,,
1961 Topps Design Variations,34,Freddie Freeman,Los Angeles Dodgers,,
1961 Topps Design Variations,36,Kyle Manzardo,Cleveland Guardians,,
1961 Topps Design Variations,43,Julio Rodríguez,Seattle Mariners,,
1961 Topps Design Variations,44,Jackson Chourio,Milwaukee Brewers,,
1961 Topps Design Variations,46,Ken Griffey Jr.,Seattle Mariners,,
1961 Topps Design Variations,49,Ronny Mauricio,New York Mets,,
1961 Topps Design Variations,50,Anthony Volpe,New York Yankees,,
1961 Topps Design Variations,53,Tom Seaver,New York Mets,,
1961 Topps Design Variations,55,Derek Jeter,New York Yankees,,
1961 Topps Design Variations,56,Yu Darvish,San Diego Padres,,
1961 Topps Design Variations,59,Jose Altuve,Houston Astros,,
1961 Topps Design Variations,61,Yoshinobu Yamamoto,Los Angeles Dodgers,,
1961 Topps Design Variations,63,Fernando Tatis Jr.,San Diego Padres,,
1961 Topps Design Variations,66,Marco Luciano,San Francisco Giants,,
1961 Topps Design Variations,68,Alex Rodriguez,Texas Rangers,,
1961 Topps Design Variations,69,Jazz Chisholm Jr.,New York Yankees,,
1961 Topps Design Variations,72,Bo Jackson,Kansas City Royals,,
1961 Topps Design Variations,73,Bryce Harper,Philadelphia Phillies,,
1961 Topps Design Variations,75,Ketel Marte,Arizona Diamondbacks,,
1961 Topps Design Variations,77,Austin Riley,Atlanta Braves,,
1961 Topps Design Variations,80,Salvador Perez,Kansas City Royals,,
1961 Topps Design Variations,83,Randy Johnson,Arizona Diamondbacks,,
1961 Topps Design Variations,91,Jordan Lawlar,Arizona Diamondbacks,,
1961 Topps Design Variations,92,Jeremy Peña,Houston Astros,,
1961 Topps Design Variations,93,Greg Maddux,Atlanta Braves,,
1961 Topps Design Variations,94,Clayton Kershaw,Los Angeles Dodgers,,
1961 Topps Design Variations,95,Gerrit Cole,New York Yankees,,
1961 Topps Design Variations,100,Adley Rutschman,Baltimore Orioles,,
1961 Topps Image Variations,1,Jasson Domínguez,New York Yankees,,
1961 Topps Image Variations,33,Junior Caminero,Tampa Bay Rays,,
1961 Topps Image Variations,44,Jackson Chourio,Milwaukee Brewers,,
1961 Topps Image Variations,61,Yoshinobu Yamamoto,Los Angeles Dodgers,,
1968 Fan Favorites Autographs,68FF-AA,Andrew Abbott,Cincinnati Reds,,
1968 Fan Favorites Autographs,68FF-AJ,Adam Jones,Baltimore Orioles,,
1968 Fan Favorites Autographs,68FF-AV,Andy Van Slyke,Pittsburgh Pirates,,
1968 Fan Favorites Autographs,68FF-BO,Buster Olney,,,
1968 Fan Favorites Autographs,68FF-BR,Brian Roberts,Baltimore Orioles,,
1968 Fan Favorites Autographs,68FF-BW,Bryan Woo,Seattle Mariners,,
1968 Fan Favorites Autographs,68FF-CW,Chien-Ming Wang,New York Yankees,,
1968 Fan Favorites Autographs,68FF-CY,Chris Young,Texas Rangers,,
1968 Fan Favorites Autographs,68FF-DO,Don Orsillo,,,
1968 Fan Favorites Autographs,68FF-DS,Davis Schneider,Toronto Blue Jays,,
1968 Fan Favorites Autographs,68FF-EC,Eric Chavez,Oakland Athletics,,
1968 Fan Favorites Autographs,68FF-EH,Emerson Hancock,Seattle Mariners,,
1968 Fan Favorites Autographs,68FF-ER,Endy Rodríguez,Pittsburgh Pirates,,
1968 Fan Favorites Autographs,68FF-JB,Joe Buck,,,
1968 Fan Favorites Autographs,68FF-JL,Jack Leiter,Texas Rangers,,
1968 Fan Favorites Autographs,68FF-JW,Jackson Wolf,San Diego Padres,,
1968 Fan Favorites Autographs,68FF-KR,Ken Rosenthal,,,
1968 Fan Favorites Autographs,68FF-MK,Michael Kay,,,
1968 Fan Favorites Autographs,68FF-NG,Nick Gonzales,Pittsburgh Pirates,,
1968 Fan Favorites Autographs,68FF-TS,Tyler Soderstrom,Oakland Athletics,,
1968 Fan Favorites Autographs,68FF-TSA,Tim Salmon,California Angels,,
1968 Fan Favorites Autographs,68FF-VW,Vernon Wells,Toronto Blue Jays,,
1968 Fan Favorites Autographs,68FF-ZG,Zack Gelof,Oakland Athletics,,
1968 Topps Action All-Stars,68AAS-1,Shohei Ohtani,Los Angeles Dodgers,,
1968 Topps Action All-Stars,68AAS-2,Mike Trout,Los Angeles Angels,,
1968 Topps Action All-Stars,68AAS-3,Aaron Judge,New York Yankees,,
1968 Topps Action All-Stars,68AAS-4,Juan Soto,New York Yankees,,
1968 Topps Action All-Stars,68AAS-5,Bryce Harper,Philadelphia Phillies,,
1968 Topps Action All-Stars,68AAS-6,Mookie Betts,Los Angeles Dodgers,,
1968 Topps Action All-Stars,68AAS-7,Julio Rodríguez,Seattle Mariners,,
1968 Topps Action All-Stars,68AAS-8,Yordan Alvarez,Houston Astros,,
1968 Topps Action All-Stars,68AAS-9,Alex Bregman,Houston Astros,,
1968 Topps Action All-Stars,68AAS-10,Francisco Lindor,New York Mets,,
1968 Topps Action All-Stars,68AAS-11,Corbin Carroll,Arizona Diamondbacks,,
1968 Topps Action All-Stars,68AAS-12,Corey Seager,Texas Rangers,,
1968 Topps Action All-Stars,68AAS-13,Freddie Freeman,Los Angeles Dodgers,,
1968 Topps Action All-Stars,68AAS-14,Salvador Perez,Kansas City Royals,,
1968 Topps Action All-Stars,68AAS-15,Rafael Devers,Boston Red Sox,,
1968 Topps Action All-Stars,68AAS-16,Ronald Acuña Jr.,Atlanta Braves,,
1968 Topps Action All-Stars,68AAS-17,Austin Riley,Atlanta Braves,,
1968 Topps Action All-Stars,68AAS-18,Elly De La Cruz,Cincinnati Reds,,
1968 Topps Action All-Stars,68AAS-19,Wyatt Langford,Texas Rangers,,
1968 Topps Action All-Stars,68AAS-20,Jackson Holliday,Baltimore Orioles,,
1968 Topps Action All-Stars,68AAS-21,Yoshinobu Yamamoto,Los Angeles Dodgers,,
1968 Topps Action All-Stars,68AAS-22,Jackson Chourio,Milwaukee Brewers,,
1968 Topps Action All-Stars,68AAS-23,Paul Skenes,Pittsburgh Pirates,,
1968 Topps Action All-Stars,68AAS-24,Masyn Winn,St. Louis Cardinals,,
1968 Topps Action All-Stars,68AAS-25,Shota Imanaga,Chicago Cubs,,
1968 Topps Action All-Stars Autographs,68AA-AH,Austin Hays,Baltimore Orioles,,
1968 Topps Action All-Stars Autographs,68AA-AR,Aramis Ramirez,Chicago Cubs,,
1968 Topps Action All-Stars Autographs,68AA-BD,Bucky Dent,New York Yankees,,
1968 Topps Action All-Stars Autographs,68AA-BI,Brandon Inge,Detroit Tigers,,
1968 Topps Action All-Stars Autographs,68AA-DE,David Eckstein,St. Louis Cardinals,,
1968 Topps Action All-Stars Autographs,68AA-DJ,David Justice,Atlanta Braves,,
1968 Topps Action All-Stars Autographs,68AA-DS,Dave Stewart,Oakland Athletics,,
1968 Topps Action All-Stars Autographs,68AA-EB,Ellis Burks,Colorado Rockies,,
1968 Topps Action All-Stars Autographs,68AA-ED,Eric Davis,Cincinnati Reds,,
1968 Topps Action All-Stars Autographs,68AA-FJ,Fergie Jenkins,Chicago Cubs,,
1968 Topps Action All-Stars Autographs,68AA-FW,Frank White,Kansas City Royals,,
1968 Topps Action All-Stars Autographs,68AA-JP,Jim Palmer,Baltimore Orioles,,
1968 Topps Action All-Stars Autographs,68AA-JR,Jim Rice,Boston Red Sox,,
1968 Topps Action All-Stars Autographs,68AA-KL,Kenny Lofton,San Francisco Giants,,
1968 Topps Action All-Stars Autographs,68AA-NE,Nathan Eovaldi,Texas Rangers,,
1968 Topps Action All-Stars Autographs,68AA-PO,Paul O'Neill,New York Yankees,,
1968 Topps Action All-Stars Autographs,68AA-RF,Rollie Fingers,Oakland Athletics,,
1968 Topps Action All-Stars Autographs,68AA-RG,Ron Guidry,New York Yankees,,
1968 Topps Action All-Stars Autographs,68AA-SR,Scott Rolen,St. Louis Cardinals,,
1968 Topps Action All-Stars Autographs,68AA-VM,Victor Martinez,Detroit Tigers,,
1968 Topps Action All-Stars Autographs,68AA-WR,Willie Randolph,New York Yankees,,
1970 Topps Design Variations,101,Gunnar Henderson,Baltimore Orioles,,
1970 Topps Design Variations,102,Manny Machado,San Diego Padres,,
1970 Topps Design Variations,104,Vladimir Guerrero Jr.,Toronto Blue Jays,,
1970 Topps Design Variations,105,Victor Scott II,St. Louis Cardinals,,
1970 Topps Design Variations,106,Cal Ripken Jr.,Baltimore Orioles,,
1970 Topps Design Variations,107,Josh Jung,Texas Rangers,,
1970 Topps Design Variations,111,Mookie Betts,Los Angeles Dodgers,,
1970 Topps Design Variations,113,Rickey Henderson,Oakland Athletics,,
1970 Topps Design Variations,115,Alex Bregman,Houston Astros,,
1970 Topps Design Variations,116,Ronald Acuña Jr.,Atlanta Braves,,
1970 Topps Design Variations,117,Albert Pujols,St. Louis Cardinals,,
1970 Topps Design Variations,119,Mickey Mantle,New York Yankees,,
1970 Topps Design Variations,123,Jack Leiter,Texas Rangers,,
1970 Topps Design Variations,124,Curtis Mead,Tampa Bay Rays,,
1970 Topps Design Variations,126,Andrew McCutchen,Pittsburgh Pirates,,
1970 Topps Design Variations,127,Jung Hoo Lee,San Francisco Giants,,
1970 Topps Design Variations,130,David Ortiz,Boston Red Sox,,
1970 Topps Design Variations,131,Austin Martin,Minnesota Twins,,
1970 Topps Design Variations,146,Pete Crow-Armstrong,Chicago Cubs,,
1970 Topps Design Variations,148,Christian Yelich,Milwaukee Brewers,,
1970 Topps Design Variations,150,Bobby Witt Jr.,Kansas City Royals,,
1970 Topps Design Variations,152,Ichiro,Seattle Mariners,,
1970 Topps Design Variations,156,Jackson Merrill,San Diego Padres,,
1970 Topps Design Variations,158,Noelvi Marte,Cincinnati Reds,,
1970 Topps Design Variations,160,Nolan Arenado,St. Louis Cardinals,,
1970 Topps Design Variations,161,Sammy Sosa,Chicago Cubs,,
1970 Topps Design Variations,162,Aaron Judge,New York Yankees,,
1970 Topps Design Variations,163,Kyle Schwarber,Philadelphia Phillies,,
1970 Topps Design Variations,165,Marcus Semien,Texas Rangers,,
1970 Topps Design Variations,169,Corbin Carroll,Arizona Diamondbacks,,
1970 Topps Design Variations,183,Rafael Devers,Boston Red Sox,,
1970 Topps Design Variations,188,Colton Coswer,Baltimore Orioles,,
1970 Topps Design Variations,192,Yordan Alvarez,Houston Astros,,
1970 Topps Design Variations,199,Wyatt Langford,Texas Rangers,,
1970 Topps Design Variations,200,Paul Skenes,Pittsburgh Pirates,,
1970 Topps Image Variations,127,Jung Hoo Lee,San Francisco Giants,,
1970 Topps Image Variations,199,Wyatt Langford,Texas Rangers,,
1970 Topps Image Variations,200,Paul Skenes,Pittsburgh Pirates,,
1983 Fan Favorites Autographs,83FF-AP,AJ Pierzynski,Chicago White Sox,,
1983 Fan Favorites Autographs,83FF-BG,Brett Gardner,New York Yankees,,
1983 Fan Favorites Autographs,83FF-CMA,Cade Marlowe,Seattle Mariners,,
1983 Fan Favorites Autographs,83FF-CME,Curtis Mead,Tampa Bay Rays,,
1983 Fan Favorites Autographs,83FF-CR,Cole Ragans,Kansas City Royals,,
1983 Fan Favorites Autographs,83FF-DC,Dominic Canzone,Seattle Mariners,,
1983 Fan Favorites Autographs,83FF-DV,Darius Vines,Atlanta Braves,,
1983 Fan Favorites Autographs,83FF-GG,Goose Gossage,New York Yankees,,
1983 Fan Favorites Autographs,83FF-GK,Grae Kessinger,Houston Astros,,
1983 Fan Favorites Autographs,83FF-JA,Jim Abbott,New York Yankees,,
