Variety,Card Number,Player/Athlete,Team,Rookie
Base,90,Carlos Correa,Minnesota Twins,
Base,91,George Springer,Toronto Blue Jays,
Base,92,Junior Caminero,Tampa Bay Rays,RC
Base,93,Matt McLain,Cincinnati Reds,
Base,94,Mookie Betts,Los Angeles Dodgers,
Base,95,Cole Ragans,Kansas City Royals,
Base,96,Evan Carter,Texas Rangers,RC
Base,97,Shohei Ohtani,Los Angeles Dodgers,
Base,98,Sal Frelick,Milwaukee Brewers,RC
Base,99,Jordan Lawlar,Arizona Diamondbacks,RC
Base,100,Bobby Witt Jr.,Kansas City Royals,
Base,101,Stan Musial,St. Louis Cardinals,
Base,102,Torii Hunter,Minnesota Twins,
Base,103,Jimmy Rollins,Philadelphia Phillies,
Base,104,Duke Snider,Brooklyn Dodgers,
Base,105,Brooks Robinson,Baltimore Orioles,
Base,106,Cody Bellinger,Chicago Cubs,
Base,107,Cal Raleigh,Seattle Mariners,
Base,108,Dave Winfield,San Diego Padres,
Base,109,Ozzie Albies,Atlanta Braves,
Base,110,Anthony Santander,Baltimore Orioles,
Base,111,Wade Boggs,Boston Red Sox,
Base,112,Corbin Burnes,Baltimore Orioles,
Base,113,Hanley Ramirez,Florida Marlins,
Base,114,Nathan Eovaldi,Texas Rangers,
Base,115,Cal Ripken Jr.,Baltimore Orioles,
Base,116,Dave Parker,Pittsburgh Pirates,
Base,117,Roy Campanella,Brooklyn Dodgers,
Base,118,Willie Mays,New York Giants,
Base,119,Mel Ott,New York Giants,
Base,120,Andy Pettitte,Houston Astros,
Base,121,Trevor Hoffman,San Diego Padres,
Base,122,José Reyes,New York Mets,
Base,123,José Ramírez,Cleveland Guardians,
Base,124,Roberto Clemente,Pittsburgh Pirates,
Base,125,Charlie Blackmon,Colorado Rockies,
Base,126,Thurman Munson,New York Yankees,
Base,127,R.A. Dickey,New York Mets,
Base,128,Eloy Jiménez,Chicago White Sox,
Base,129,Lou Gehrig,New York Yankees,
Base,130,George Brett,Kansas City Royals,
Base,131,Nolan Ryan,Houston Astros,
Base,132,Adolis García,Texas Rangers,
Base,133,Jordan Montgomery,Arizona Diamondbacks,
Base,134,Satchel Paige,St. Louis Browns,
Base,135,Ryne Sandberg,Chicago Cubs,
Base,136,David Ortiz,Boston Red Sox,
Base,137,Bartolo Colon,Montréal Expos,
Base,138,Anthony Rizzo,New York Yankees,
Base,139,Jorge Soler,Miami Marlins,
Base,140,Hank Aaron,Atlanta Braves,
Base,141,Max Muncy,Los Angeles Dodgers,
Base,142,Mickey Mantle,New York Yankees,
Base,143,Barry Larkin,Cincinnati Reds,
Base,144,Xander Bogaerts,San Diego Padres,
Base,145,Randy Arozarena,Tampa Bay Rays,
Base,146,Parker Meadows,Detroit Tigers,RC
Base,147,Kodai Senga,New York Mets,
Base,148,David Wright,New York Mets,
Base,149,Paul Goldschmidt,St. Louis Cardinals,
Base,150,Albert Pujols,St. Louis Cardinals,
Base,151,Tom Seaver,New York Mets,
Base,152,Nolan Jones,Colorado Rockies,
Base,153,Kirby Puckett,Minnesota Twins,
Base,154,Pedro Martinez,Boston Red Sox,
Base,155,Nick Castellanos,Philadelphia Phillies,
Base,156,Jonah Heim,Texas Rangers,
Base,157,Sonny Gray,St. Louis Cardinals,
Base,158,Javier Báez,Detroit Tigers,
Base,159,Chipper Jones,Atlanta Braves,
Base,160,Spencer Torkelson,Detroit Tigers,
Base,161,Gunnar Henderson,Baltimore Orioles,
Base,162,Yandy Díaz,Tampa Bay Rays,
Base,163,Jack Suwinski,Pittsburgh Pirates,
Base,164,Jose Siri,Tampa Bay Rays,
Base,165,Merrill Kelly,Arizona Diamondbacks,
Base,166,Carlos Beltrán,Kansas City Royals,
Base,167,Kyle Manzardo,Cleveland Guardians,RC
Base,168,Brandon Drury,Los Angeles Angels,
Base,169,Nolan Arenado,St. Louis Cardinals,
Base,170,Jackie Robinson,Brooklyn Dodgers,
Base,171,Christian Walker,Arizona Diamondbacks,
Base,172,Masanori Murakami,San Francisco Giants,
Base,173,Lane Thomas,Washington Nationals,
Base,174,Ichiro,Seattle Mariners,
Base,175,Derek Jeter,New York Yankees,
Base,176,Bill Mazeroski,Pittsburgh Pirates,
Base,177,Ken Griffey Jr.,Seattle Mariners,
Base,178,Adrián Beltré,Seattle Mariners,
Base,179,Billy Williams,Chicago Cubs,
Base,180,Vladimir Guerrero,Los Angeles Angels,
Base,181,Shota Imanaga,Chicago Cubs,RC
Base,182,Dylan Cease,San Diego Padres,
Base,183,Kris Bryant,Colorado Rockies,
Base,184,Framber Valdez,Houston Astros,
Base,185,Salvador Perez,Kansas City Royals,
Base,186,Fernando Tatis Jr.,San Diego Padres,
Base,187,Royce Lewis,Minnesota Twins,
Base,188,Frank Thomas,Chicago White Sox,
Base,189,Christopher Morel,Chicago Cubs,
Base,190,Joe Mauer,Minnesota Twins,
Base,191,Logan Webb,San Francisco Giants,
Base,192,Gary Carter,Montréal Expos,
Base,193,Bob Gibson,St. Louis Cardinals,
Base,194,Marcus Semien,Texas Rangers,
Base,195,Roger Clemens,Toronto Blue Jays,
Base,196,William Contreras,Milwaukee Brewers,
Base,197,Nolan Gorman,St. Louis Cardinals,
Base,198,Babe Ruth,Boston Red Sox,
Base,199,Brent Rooker,Oakland Athletics,
Base,200,Vladimir Guerrero Jr.,Toronto Blue Jays,
Base,201,Yoshinobu Yamamoto,Los Angeles Dodgers,RC
Base,202,Mark Feinsand,,
Base,203,Andrew McCutchen,Pittsburgh Pirates,
Base,204,Mallory Swanson,,
Base,205,Tarik Skubal,Detroit Tigers,
Base,206,Metro Boomin,,
Base,207,Teppei Teranishi,,
Base,208,Usain Bolt,,
Base,209,TJ Therrien,,
Base,210,Jax Taylor,,
Base,211,Kelsie Whitmore,,
Base,212,Ben Brown,Chicago Cubs,RC
Base,213,Chris Tamburello,,
Base,214,Harmon Killebrew,Minnesota Twins,
Base,215,Daniel Van Kirk,,
Base,216,Sophia Smith,,
Base,217,Victor Scott II,St. Louis Cardinals,RC
Base,218,Sheryl Swoopes,,
Base,219,Jeremy Swift,,
Base,220,Greg Maddux,Atlanta Braves,
Base,221,Rob Dillingham,,
Base,222,Kid Laroi,,
Base,223,Lilia Vu,,
Base,224,John John Florence,,
Base,225,Mark McGwire,Oakland Athletics,
Base,226,Reggie Jackson,Oakland Athletics,
Base,227,Miki Sudo,,
Base,228,Blake Snell,San Francisco Giants,
Base,229,Shin Lim,,
Base,230,Spencer Strider,Atlanta Braves,
Base,231,Zach Gilford,,
Base,232,Andy Pages,Los Angeles Dodgers,RC
Base,233,Caleb Williams,,
Base,234,Ivan Rodriguez,Florida Marlins,
Base,235,Rod Carew,Minnesota Twins,
Base,236,Luis Vázquez,Chicago Cubs,RC
Base,237,Rider Strong,,
Base,238,Todd Radom,,
Base,239,Alex Sarr,,
Base,240,Tim Robinson,,
Base,241,Quavo,,
Base,242,Andre Dawson,Montréal Expos,
Base,243,Paul Molitor,Toronto Blue Jays,
Base,244,Randy Johnson,Arizona Diamondbacks,
Base,245,Zaccharie Risacher,,
Base,246,Jason Aldean,,
Base,247,Mariano Rivera,New York Yankees,
Base,248,Danielle Fishel,,
Base,249,Erika Thompson,,
Base,250,Robin Yount,Milwaukee Brewers,
Base,251,Jeff Probst,,
Base,252,Ted Williams,Boston Red Sox,
Base,253,Justin Foscue,Texas Rangers,RC
Base,254,Pete Steinkopf,,
Base,255,Chuck Norris,,
Base,256,Rickey Henderson,Oakland Athletics,
Base,257,Greg Attonito,,
Base,258,Graham Pauley,San Diego Padres,RC
Base,259,Austin Martin,Minnesota Twins,RC
Base,260,Myke Towers,,
Base,261,Dan Soder,,
Base,262,Xander Schauffele,,
Base,263,Jonatan Clase,Seattle Mariners,RC
Base,264,Riley Breckenridge,,
Base,265,Ryan Murphy,,
Base,266,Bryan Kienlen,,
Base,267,George Rebelo,,
Base,268,Nicky Cass,,
Base,269,Jung Hoo Lee,San Francisco Giants,RC
Base,270,Eddie Breckenridge,,
Base,271,Jack Leiter,Texas Rangers,RC
Base,272,Drake Maye,,
Base,273,Robert Kelly,,
Base,274,Travis Scott,,
Base,275,Jackson Merrill,San Diego Padres,RC
Base,276,Jackson Chourio,Milwaukee Brewers,RC
Base,277,Jackson Holliday,Baltimore Orioles,RC
Base,278,Wyatt Langford,Texas Rangers,RC
Base,279,Colt Keith,Detroit Tigers,RC
Base,280,Mike Trout,Los Angeles Angels,
Base,281,Dianna Russini,,
Base,282,Paul Skenes,Pittsburgh Pirates,RC
Base,283,Tony Gwynn,San Diego Padres,
Base,284,Dustin Kensrue,,
Base,285,Will Friedle,,
Base,286,Steve Garvey,Los Angeles Dodgers,
Base,287,Katie Ledecky,,
Base,288,Dude Dad,,
Base,289,Jim Palmer,Baltimore Orioles,
Base,290,Joe List,,
Base,291,Sammy Sosa,Chicago Cubs,
Base,292,Mike Piazza,New York Mets,
Base,293,Jayden Daniels,,
Base,294,Don Mattingly,New York Yankees,
Base,295,Derrick Kosinski,,
Base,296,Charlie Wachtel,,
Base,297,Andrew Tkaczyk,,
Base,298,Jared Jones,Pittsburgh Pirates,RC
Base,299,John Daly,,
Base,300,Daddy Yankee,,
Base,301,DJ LeMahieu,New York Yankees,SP
Base,302,Tim Anderson,Miami Marlins,SP
Base,303,Hunter Greene,Cincinnati Reds,SP
Base,304,Joe Musgrove,San Diego Padres,SP
Base,305,Joc Pederson,Arizona Diamondbacks,SP
Base,306,Kyle Schwarber,Philadelphia Phillies,SP
Base,307,Rafael Palmeiro,Texas Rangers,SP
Base,308,Paul Blackburn,Oakland Athletics,SP
Base,309,Patrick Wisdom,Chicago Cubs,SP
Base,310,Carlos Rodón,New York Yankees,SP
Base,311,Juan Gonzalez,Texas Rangers,SP
Base,312,Sandy Koufax,Brooklyn Dodgers,SP
Base,313,Edgar Martinez,Seattle Mariners,SP
Base,314,Will Smith,Los Angeles Dodgers,SP
Base,315,Willie McCovey,San Francisco Giants,SP
Base,316,Dick Allen,chicago White Sox,SP
Base,317,Craig Biggio,Houston Astros,SP
Base,318,Starling Marte,New York Mets,SP
Base,319,Nestor Cortes,New York Yankees,SP
Base,320,Alex Bregman,Houston Astros,SP
Base,321,Pablo López,Minnesota Twins,SP
Base,322,Tony Oliva,Minnesota Twins,SP
Base,323,Fred McGriff,Atlanta Braves,SP
Base,324,Brady Singer,Kansas City Royals,SP
Base,325,Matt Strahm,Philadelphia Phillies,SP
Base,326,Larry Walker,Colorado Rockies,SP
Base,327,Rollie Fingers,Oakland Athletics,SP
Base,328,Ryan Mountcastle,Baltimore Orioles,SP
Base,329,Jorge Polanco,Seattle Mariners,SP
Base,330,Eric Davis,Cincinnati Reds,SP
Base,331,Lou Brock,St. Louis Cardinals,SP
Base,332,Willie Stargell,Pittsburgh Pirates,SP
Base,333,Jonathan India,Cincinnati Reds,SP
Base,334,Aaron Nola,Philadelphia Phillies,SP
Base,335,Tom Glavine,New York Mets,SP
Base,336,Tim Raines,Montréal Expos,SP
Base,337,Paul O'Neill,New York Yankees,SP
Base,338,Harold Baines,chicago White Sox,SP
Base,339,Jeff Bagwell,Houston Astros,SP
Base,340,Eddie Murray,Baltimore Orioles,SP
Base,341,Shane Bieber,Cleveland Guardians,SP
Base,342,Willy Adames,Milwaukee Brewers,SP
Base,343,Ozzie Smith,St. Louis Cardinals,SP
Base,344,Maikel Garcia,Kansas City Royals,SP
Base,345,Matt Wallner,Minnesota Twins,SP
Base,346,John Kruk,Philadelphia Phillies,SP
Base,347,Kent Hrbek,Minnesota Twins,SP
Base,348,Jack Flaherty,Detroit Tigers,SP
Base,349,Andruw Jones,Atlanta Braves,SP
Base,350,Johnny Bench,Cincinnati Reds,SP
2023 World Series Champion Mini,23WS-1,Corey Seager,Texas Rangers,
2023 World Series Champion Mini,23WS-2,Josh Jung,Texas Rangers,
2023 World Series Champion Mini,23WS-3,Marcus Semien,Texas Rangers,
2023 World Series Champion Mini,23WS-4,Nathaniel Lowe,Texas Rangers,
2023 World Series Champion Mini,23WS-5,Jonah Heim,Texas Rangers,
2023 World Series Champion Mini,23WS-6,Adolis García,Texas Rangers,
2023 World Series Champion Mini,23WS-7,Ezequiel Duran,Texas Rangers,
2023 World Series Champion Mini,23WS-8,Max Scherzer,Texas Rangers,
2023 World Series Champion Mini,23WS-9,Evan Carter,Texas Rangers,
2023 World Series Champion Mini,23WS-10,Mitch Garver,Texas Rangers,
2023 World Series Champion Mini,23WS-11,Leody Taveras,Texas Rangers,
2023 World Series Champion Mini,23WS-12,Jordan Montgomery,Texas Rangers,
2023 World Series Champion Mini,23WS-13,Nathan Eovaldi,Texas Rangers,
2023 World Series Champion Mini,23WS-14,José Leclerc,Texas Rangers,
2023 World Series Champion Mini,23WS-15,Dane Dunning,Texas Rangers,
2023 World Series Champion Mini,23WS-16,Jon Gray,Texas Rangers,
2023 World Series Champion Mini,23WS-17,Andrew Heaney,Texas Rangers,
2023 World Series Champion Mini,23WS-18,Travis Jankowski,Texas Rangers,
2023 World Series Champion Mini,23WS-19,Josh Sborz,Texas Rangers,
2023 World Series Champion Mini,23WS-20,Chris Stratton,Texas Rangers,
50 States Mini,50S-1,Alabama,,
50 States Mini,50S-2,Alaska,,
50 States Mini,50S-3,Arizona,,
50 States Mini,50S-4,Arkansas,,
50 States Mini,50S-5,California,,
50 States Mini,50S-6,Colorado,,
50 States Mini,50S-7,Connecticut,,
50 States Mini,50S-8,Delaware,,
50 States Mini,50S-9,Florida,,
50 States Mini,50S-10,Georgia,,
50 States Mini,50S-11,Hawaii,,
50 States Mini,50S-12,Idaho,,
50 States Mini,50S-13,Illinois,,
50 States Mini,50S-14,Indiana,,
50 States Mini,50S-15,Iowa,,
50 States Mini,50S-16,Kansas,,
50 States Mini,50S-17,Kentucky,,
50 States Mini,50S-18,Louisiana,,
50 States Mini,50S-19,Maine,,
50 States Mini,50S-20,Maryland,,
50 States Mini,50S-21,Massachusetts,,
50 States Mini,50S-22,Michigan,,
50 States Mini,50S-23,Minnesota,,
50 States Mini,50S-24,Mississippi,,
50 States Mini,50S-25,Missouri,,
50 States Mini,50S-26,Montana,,
50 States Mini,50S-27,Nebraska,,
50 States Mini,50S-28,Nevada,,
50 States Mini,50S-29,New Hampshire,,
50 States Mini,50S-30,New Jersey,,
50 States Mini,50S-31,New Mexico,,
50 States Mini,50S-32,New York,,
50 States Mini,50S-33,North Carolina,,
50 States Mini,50S-34,North Dakota,,
50 States Mini,50S-35,Ohio,,
50 States Mini,50S-36,Oklahoma,,
50 States Mini,50S-37,Oregon,,
50 States Mini,50S-38,Pennsylvania,,
50 States Mini,50S-39,Rhode Island,,
50 States Mini,50S-40,South Carolina,,
50 States Mini,50S-41,South Dakota,,
50 States Mini,50S-42,Tennessee,,
50 States Mini,50S-43,Texas,,
50 States Mini,50S-44,Utah,,
50 States Mini,50S-45,Vermont,,
50 States Mini,50S-46,Virginia,,
50 States Mini,50S-47,Washington,,
50 States Mini,50S-48,West Virginia,,
50 States Mini,50S-49,Wisconsin,,
50 States Mini,50S-50,Wyoming,,
Boxloader,AGBL-1,Mookie Betts,Los Angeles Dodgers,
Boxloader,AGBL-2,Elly De La Cruz,Cincinnati Reds,
Boxloader,AGBL-3,Jasson Domínguez,New York Yankees,
Boxloader,AGBL-4,Evan Carter,Texas Rangers,
Boxloader,AGBL-5,Jordan Lawlar,Arizona Diamondbacks,
Boxloader,AGBL-6,Shohei Ohtani,Los Angeles Dodgers,
Boxloader,AGBL-7,Bobby Witt Jr.,Kansas City Royals,
Boxloader,AGBL-8,Ronald Acuña Jr.,Atlanta Braves,
Boxloader,AGBL-9,Vladimir Guerrero Jr.,Toronto Blue Jays,
Boxloader,AGBL-10,Juan Soto,New York Yankees,
Boxloader,AGBL-11,Fernando Tatis Jr.,San Diego Padres,
Boxloader,AGBL-12,Pete Alonso,New York Mets,
Boxloader,AGBL-13,Rafael Devers,Boston Red Sox,
Boxloader,AGBL-14,Luis Robert Jr.,Chicago White Sox,
Boxloader,AGBL-15,Bryce Harper,Philadelphia Phillies,
Boxloader Autographs,BA-BP,Buster Posey,San Francisco Giants,
Boxloader Autographs,BA-BW,Bobby Witt Jr.,Kansas City Royals,
Boxloader Autographs,BA-CB,Craig Biggio,Houston Astros,
Boxloader Autographs,BA-CJ,Chipper Jones,Atlanta Braves,
Boxloader Autographs,BA-CY,Christian Yelich,Milwaukee Brewers,
Boxloader Autographs,BA-DM,Don Mattingly,New York Yankees,
Boxloader Autographs,BA-EM,Edgar Martinez,Seattle Mariners,
Boxloader Autographs,BA-FH,Félix Hernández,Seattle Mariners,
Boxloader Autographs,BA-FT,Frank Thomas,Chicago White Sox,
Boxloader Autographs,BA-IR,Ivan Rodriguez,Florida Marlins,
Boxloader Autographs,BA-JRO,Jimmy Rollins,Philadelphia Phillies,
Boxloader Autographs,BA-JS,Juan Soto,New York Yankees,
Boxloader Autographs,BA-JV,Joey Votto,Cincinnati Reds,
Boxloader Autographs,BA-MM,Mark McGwire,Oakland Athletics,
Boxloader Autographs,BA-PA,Pete Alonso,New York Mets,
Boxloader Autographs,BA-RH,Rhys Hoskins,Milwaukee Brewers,
Boxloader Autographs,BA-RJ,Randy Johnson,Arizona Diamondbacks,
Boxloader Autographs,BA-RS,Ryne Sandberg,Chicago Cubs,
Boxloader Autographs,BA-VG,Vladimir Guerrero,Montréal Expos,
Boxloader Autographs,BA-WB,Wade Boggs,Boston Red Sox,
Relics,AGR-AJ,Aaron Judge,New York Yankees,
Relics,AGR-AM,Andrew McCutchen,Pittsburgh Pirates,
Relics,AGR-AR,Anthony Rizzo,New York Yankees,
Relics,AGR-ATA,Andrew Tkaczyk,,
Relics,AGR-BC,Brandon Crawford,St. Louis Cardinals,
Relics,AGR-BL,Brandon Lowe,Tampa Bay Rays,
Relics,AGR-BW,Bobby Witt Jr.,Kansas City Royals,
Relics,AGR-CC,Carlos Correa,Minnesota Twins,
Relics,AGR-CM,Cedric Mullins,Baltimore Orioles,
Relics,AGR-CR,Cal Ripken Jr.,Baltimore Orioles,
Relics,AGR-CW,Charlie Wachtel,,
Relics,AGR-CY,Christian Yelich,Milwaukee Brewers,
Relics,AGR-DD,Dude Dad,,
Relics,AGR-DJE,Derek Jeter,New York Yankees,
Relics,AGR-DKE,Dustin Kensrue,,
Relics,AGR-DKO,Derrick Kosinski,,
Relics,AGR-DL,DJ LeMahieu,New York Yankees,
Relics,AGR-DO,David Ortiz,Boston Red Sox,
Relics,AGR-DR,Dianna Russini,,
Relics,AGR-EB,Eddie Breckenridge,,
Relics,AGR-ES,Eric Shellhouse,,
Relics,AGR-FF,Freddie Freeman,Los Angeles Dodgers,
Relics,AGR-GC,Gerrit Cole,New York Yankees,
Relics,AGR-GM,Gabriel Moreno,Arizona Diamondbacks,
Relics,AGR-GS,Gary Sheffield,Florida Marlins,
Relics,AGR-GSP,George Springer,Toronto Blue Jays,
Relics,AGR-JAL,Jose Altuve,Houston Astros,
Relics,AGR-JB,Javier Báez,Detroit Tigers,
Relics,AGR-JCR,Jake Cronenworth,San Diego Padres,
Relics,AGR-JL,Joe List,,
Relics,AGR-JP,Jeff Probst,,
Relics,AGR-JR,J.T. Realmuto,Philadelphia Phillies,
Relics,AGR-JRA,José Ramírez,Cleveland Guardians,
Relics,AGR-JT,Jax Taylor,,
Relics,AGR-JV,Joey Votto,Cincinnati Reds,
Relics,AGR-JW,Jordan Wicks,Chicago Cubs,
Relics,AGR-KB,Kris Bryant,Colorado Rockies,
Relics,AGR-KL,Katie Ledecky,,
Relics,AGR-KLA,The Kid LAROI,,
Relics,AGR-KM,Ketel Marte,Arizona Diamondbacks,
Relics,AGR-KPU,Kirby Puckett,Minnesota Twins,
Relics,AGR-KW,Kelsie Whitmore,,
Relics,AGR-LH,Liam Holland,,
Relics,AGR-LW,Larry Walker,Colorado Rockies,
Relics,AGR-MC,Miguel Cabrera,Detroit Tigers,
Relics,AGR-MF,Mark Feinsand,,
Relics,AGR-MM,Manny Machado,San Diego Padres,
Relics,AGR-MSU,Miki Sudo,,
Relics,AGR-MT,Mike Trout,Los Angeles Angels,
Relics,AGR-MTO,Myke Towers,,
Relics,AGR-NA,Nolan Arenado,St. Louis Cardinals,
Relics,AGR-OPE,Oswald Peraza,New York Yankees,
Relics,AGR-PA,Pete Alonso,New York Mets,
Relics,AGR-PG,Paul Goldschmidt,St. Louis Cardinals,
Relics,AGR-RA,Ronald Acuña Jr.,Atlanta Braves,
Relics,AGR-RB,Riley Breckenridge,,
Relics,AGR-RG,Riley Greene,Detroit Tigers,
Relics,AGR-RK,Robert Kelly,,
Relics,AGR-RS,Rider Strong,,
Relics,AGR-SI,Shota Imanaga,Chicago Cubs,
Relics,AGR-SL,Shea Langeliers,Oakland Athletics,
Relics,AGR-SLI,Shin Lim,,
Relics,AGR-SP,Salvador Perez,Kansas City Royals,
Relics,AGR-SS,Seiya Suzuki,Chicago Cubs,
Relics,AGR-TRA,Todd Radom,,
Relics,AGR-TT,Trea Turner,Philadelphia Phillies,
Relics,AGR-TTE,Teppei Teranishi,,
Relics,AGR-TTH,TJ Therrien,,
Relics,AGR-UB,Usain Bolt,,
Relics,AGR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
Relics,AGR-WC,William Contreras,Milwaukee Brewers,
Relics,AGR-WF,Will Friedle,,
Relics,AGR-XB,Xander Bogaerts,San Diego Padres,
Relics,AGR-XS,Xander Schauffele,,
Relics,AGR-YA,Yordan Alvarez,Houston Astros,
Relics,AGR-ABE,Adrián Beltré,Texas Rangers,
Relics,AGR-ABO,Alec Bohm,Philadelphia Phillies,
Relics,AGR-AG,Andrés Giménez,Cleveland Guardians,
Relics,AGR-AJU,Aaron Judge,New York Yankees,
Relics,AGR-AMC,Andrew McCutchen,Pittsburgh Pirates,
Relics,AGR-AN,Aaron Nola,Philadelphia Phillies,
Relics,AGR-AP,Andy Pettitte,New York Yankees,
Relics,AGR-ARE,Anthony Rendon,Los Angeles Angels,
Relics,AGR-ARI,Austin Riley,Atlanta Braves,
Relics,AGR-AROD,Alex Rodriguez,Seattle Mariners,
Relics,AGR-AT,Alek Thomas,Arizona Diamondbacks,
Relics,AGR-BB,Byron Buxton,Minnesota Twins,
Relics,AGR-BLA,Barry Larkin,Cincinnati Reds,
Relics,AGR-BWI,Bernie Williams,New York Yankees,
Relics,AGR-CB,Charlie Blackmon,Colorado Rockies,
Relics,AGR-CBE,Cody Bellinger,Chicago Cubs,
Relics,AGR-CK,Clayton Kershaw,Los Angeles Dodgers,
Relics,AGR-CMO,Christopher Morel,Chicago Cubs,
Relics,AGR-CRA,Cal Raleigh,Seattle Mariners,
Relics,AGR-CS,Corey Seager,Texas Rangers,
Relics,AGR-CYE,Christian Yelich,Milwaukee Brewers,
Relics,AGR-DP,Dave Parker,Pittsburgh Pirates,
Relics,AGR-DSW,Dansby Swanson,Chicago Cubs,
Relics,AGR-EJ,Edouard Julien,Minnesota Twins,
Relics,AGR-FFR,Freddie Freeman,Los Angeles Dodgers,
Relics,AGR-FP,Freddy Peralta,Milwaukee Brewers,
Relics,AGR-FT,Frank Thomas,Chicago White Sox,
Relics,AGR-GP,Gaylord Perry,Kansas City Royals,
Relics,AGR-GST,Giancarlo Stanton,New York Yankees,
Relics,AGR-GT,Gleyber Torres,New York Yankees,
