Parallel/Variety,Card Number,Player/Athlete,Team,Rookie
Autographs,CBA-FTH,Frank Thomas,Chicago White Sox,
Autographs,CBA-GB,George Brett,Kansas City Royals,
Autographs,CBA-GCO,Griffin Conine,Miami Marlins,
Autographs,CBA-GG,Gordon Graceffo,St. Louis Cardinals,
Autographs,CBA-GH,Gunnar Henderson,Baltimore Orioles,
Autographs,CBA-GJ,Greg Jones,Colorado Rockies,
Autographs,CBA-HW,Hurston Waldrep,Atlanta Braves,
Autographs,CBA-I,Ichiro,Seattle Mariners,
Autographs,CBA-IR,Ivan Rodriguez,Florida Marlins,
Autographs,CBA-JB,Johnny Bench,Cincinnati Reds,
Autographs,CBA-JBA,Jeff Bagwell,Houston Astros,
Autographs,CBA-JBE,Jordan Beck,Colorado Rockies,
Autographs,CBA-JBL,Jake Bloss,Toronto Blue Jays,
Autographs,CBA-JC,Jackson Chourio,Milwaukee Brewers,
Autographs,CBA-JD,Jasson Domínguez,New York Yankees,
Autographs,CBA-JDA,Johnny Damon,Boston Red Sox,
Autographs,CBA-JH,Jackson Holliday,Baltimore Orioles,
Autographs,CBA-JJB,Jackson Jobe,Detroit Tigers,
Autographs,CBA-JJO,Jared Jones,Pittsburgh Pirates,
Autographs,CBA-JL,Jung Hoo Lee,San Francisco Giants,
Autographs,CBA-JLA,Jordan Lawlar,Arizona Diamondbacks,
Autographs,CBA-JM,Jackson Merrill,San Diego Padres,
Autographs,CBA-JMA,Justyn-Henry Malloy,Detroit Tigers,
Autographs,CBA-JN,Jhonkensy Noel,Cleveland Guardians,
Autographs,CBA-JO,James Outman,Los Angeles Dodgers,
Autographs,CBA-JRA,José Ramírez,Cleveland Guardians,
Autographs,CBA-JRE,J.T. Realmuto,Philadelphia Phillies,
Autographs,CBA-JRO,Jimmy Rollins,Philadelphia Phillies,
Autographs,CBA-JS,Juan Soto,New York Mets,
Autographs,CBA-JW,James Wood,Washington Nationals,
Autographs,CBA-JWE,Jamie Westbrook,Boston Red Sox,
Autographs,CBA-KM,Kyle Manzardo,Cleveland Guardians,
Autographs,CBA-KR,Kumar Rocker,Texas Rangers,
Autographs,CBA-KT,Kyle Tucker,Houston Astros,
Autographs,CBA-LAC,Luisangel Acuña,New York Mets,
Autographs,CBA-LJI,Leo Jiménez,Toronto Blue Jays,
Autographs,CBA-MS,Mike Schmidt,Philadelphia Phillies,
Autographs,CBA-MT,Mike Trout,Los Angeles Angels,
Autographs,CBA-MY,Michael Young,Texas Rangers,
Autographs,CBA-OM,Orelvis Martinez,Toronto Blue Jays,
Autographs,CBA-PS,Paul Skenes,Pittsburgh Pirates,
Autographs,CBA-RA,Ronald Acuña Jr.,Atlanta Braves,
Autographs,CBA-RB,Ryan Bliss,Seattle Mariners,
Autographs,CBA-RC,Roger Clemens,Boston Red Sox,
Autographs,CBA-RCA,Rod Carew,Minnesota Twins,
Autographs,CBA-RD,Rafael Devers,Boston Red Sox,
Autographs,CBA-RHI,Rece Hinds,Cincinnati Reds,
Autographs,CBA-RJ,Randy Johnson,Arizona Diamondbacks,
Autographs,CBA-RJA,Reggie Jackson,Oakland Athletics,
Autographs,CBA-RL,Rhett Lowder,Cincinnati Reds,
Autographs,CBA-RR,River Ryan,Los Angeles Dodgers,
Autographs,CBA-RS,Roki Sasaki,Los Angeles Dodgers,
Autographs,CBA-SB,Steward Berroa,Toronto Blue Jays,
Autographs,CBA-SF,Sal Frelick,Milwaukee Brewers,
Autographs,CBA-SSH,Spencer Schwellenbach,Atlanta Braves,
Autographs,CBA-TH,Torii Hunter,Minnesota Twins,
Autographs,CBA-TL,Tyler Locklear,Seattle Mariners,
Autographs,CBA-TM,Ty Madden,Detroit Tigers,
Autographs,CBA-TS,Trey Sweeney,Detroit Tigers,
Autographs,CBA-TSA,Thomas Saggese,St. Louis Cardinals,
Autographs,CBA-VC,Vince Coleman,St. Louis Cardinals,
Autographs,CBA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
Autographs,CBA-VM,Victor Martinez,Detroit Tigers,
Autographs,CBA-VS,Victor Scott II,St. Louis Cardinals,
Autographs,CBA-WL,Wyatt Langford,Texas Rangers,
Autographs,CBA-WW,Will Wagner,Toronto Blue Jays,
Autographs,CBA-WWA,Will Warren,New York Yankees,
Autographs,CBA-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,
Autographs,CBA-ZM,Zebby Matthews,Minnesota Twins,
Depth of Darkness,DOD-1,Dylan Crews,Washington Nationals,
Depth of Darkness,DOD-2,James Wood,Washington Nationals,
Depth of Darkness,DOD-3,Luisangel Acuña,New York Mets,
Depth of Darkness,DOD-4,Brooks Lee,Minnesota Twins,
Depth of Darkness,DOD-5,Coby Mayo,Baltimore Orioles,
Depth of Darkness,DOD-6,Aaron Judge,New York Yankees,
Depth of Darkness,DOD-7,Shohei Ohtani,Los Angeles Dodgers,
Depth of Darkness,DOD-8,Juan Soto,New York Mets,
Depth of Darkness,DOD-9,Gunnar Henderson,Baltimore Orioles,
Depth of Darkness,DOD-10,Bobby Witt Jr.,Kansas City Royals,
Depth of Darkness,DOD-11,Julio Rodríguez,Seattle Mariners,
Depth of Darkness,DOD-12,Bryce Harper,Philadelphia Phillies,
Depth of Darkness,DOD-13,Francisco Lindor,New York Mets,
Depth of Darkness,DOD-14,José Ramírez,Cleveland Guardians,
Depth of Darkness,DOD-15,Vladimir Guerrero Jr.,Toronto Blue Jays,
Depth of Darkness,DOD-16,Elly De La Cruz,Cincinnati Reds,
Depth of Darkness,DOD-17,Mookie Betts,Los Angeles Dodgers,
Depth of Darkness,DOD-18,Paul Skenes,Pittsburgh Pirates,
Depth of Darkness,DOD-19,Jackson Merrill,San Diego Padres,
Depth of Darkness,DOD-20,Mike Trout,Los Angeles Angels,
Hit the Lights,HTL-1,Mike Trout,Los Angeles Angels,
Hit the Lights,HTL-2,Corbin Carroll,Arizona Diamondbacks,
Hit the Lights,HTL-3,Ronald Acuña Jr.,Atlanta Braves,
Hit the Lights,HTL-4,Gunnar Henderson,Baltimore Orioles,
Hit the Lights,HTL-5,Rafael Devers,Boston Red Sox,
Hit the Lights,HTL-6,Cody Bellinger,New York Yankees,
Hit the Lights,HTL-7,Luis Robert Jr.,Chicago White Sox,
Hit the Lights,HTL-8,Elly De La Cruz,Cincinnati Reds,
Hit the Lights,HTL-9,José Ramírez,Cleveland Guardians,
Hit the Lights,HTL-10,Ezequiel Tovar,Colorado Rockies,
Hit the Lights,HTL-11,Tarik Skubal,Detroit Tigers,
Hit the Lights,HTL-12,Yordan Alvarez,Houston Astros,
Hit the Lights,HTL-13,Bobby Witt Jr.,Kansas City Royals,
Hit the Lights,HTL-14,Shohei Ohtani,Los Angeles Dodgers,
Hit the Lights,HTL-15,Eury Pérez,Miami Marlins,
Hit the Lights,HTL-16,Jackson Chourio,Milwaukee Brewers,
Hit the Lights,HTL-17,Royce Lewis,Minnesota Twins,
Hit the Lights,HTL-18,Francisco Lindor,New York Mets,
Hit the Lights,HTL-19,Aaron Judge,New York Yankees,
Hit the Lights,HTL-20,Lawrence Butler,Athletics,
Hit the Lights,HTL-21,Bryce Harper,Philadelphia Phillies,
Hit the Lights,HTL-22,Paul Skenes,Pittsburgh Pirates,
Hit the Lights,HTL-23,Fernando Tatis Jr.,San Diego Padres,
Hit the Lights,HTL-24,Matt Chapman,San Francisco Giants,
Hit the Lights,HTL-25,Julio Rodríguez,Seattle Mariners,
Hit the Lights,HTL-26,Masyn Winn,St. Louis Cardinals,
Hit the Lights,HTL-27,Junior Caminero,Tampa Bay Rays,
Hit the Lights,HTL-28,Wyatt Langford,Texas Rangers,
Hit the Lights,HTL-29,Vladimir Guerrero Jr.,Toronto Blue Jays,
Hit the Lights,HTL-30,CJ Abrams,Washington Nationals,
Ivory Autographs,IVA-AP,Albert Pujols,St. Louis Cardinals,
Ivory Autographs,IVA-AR,Adley Rutschman,Baltimore Orioles,
Ivory Autographs,IVA-BB,Barry Bonds,San Francisco Giants,
Ivory Autographs,IVA-BJ,Bo Jackson,Kansas City Royals,
Ivory Autographs,IVA-BW,Bobby Witt Jr.,Kansas City Royals,
Ivory Autographs,IVA-CK,Clayton Kershaw,Los Angeles Dodgers,
Ivory Autographs,IVA-DC,Dylan Crews,Washington Nationals,Rookie
Ivory Autographs,IVA-DO,David Ortiz,Boston Red Sox,
Ivory Autographs,IVA-GB,George Brett,Kansas City Royals,
Ivory Autographs,IVA-GH,Gunnar Henderson,Baltimore Orioles,
Ivory Autographs,IVA-I,Ichiro,Seattle Mariners,
Ivory Autographs,IVA-JS,Juan Soto,New York Mets,
Ivory Autographs,IVA-JW,James Wood,Washington Nationals,Rookie
Ivory Autographs,IVA-KG,Ken Griffey Jr.,Seattle Mariners,
Ivory Autographs,IVA-MB,Mookie Betts,Los Angeles Dodgers,
Ivory Autographs,IVA-MT,Mike Trout,Los Angeles Angels,
Ivory Autographs,IVA-RA,Ronald Acuña Jr.,Atlanta Braves,
Ivory Autographs,IVA-RC,Roger Clemens,Boston Red Sox,
Ivory Autographs,IVA-RJ,Randy Johnson,Arizona Diamondbacks,
Ivory Autographs,IVA-RJA,Reggie Jackson,Oakland Athletics,
Ivory Autographs,IVA-SK,Sandy Koufax,Los Angeles Dodgers,
Ivory Autographs,IVA-SO,Shohei Ohtani,Los Angeles Dodgers,
Ivory Autographs,IVA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
Ivory Autographs,IVA-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,
Nocturnal,NOC-1,Shohei Ohtani,Los Angeles Dodgers,
Nocturnal,NOC-2,Mike Trout,Los Angeles Angels,
Nocturnal,NOC-3,Clayton Kershaw,Los Angeles Dodgers,
Nocturnal,NOC-4,Mookie Betts,Los Angeles Dodgers,
Nocturnal,NOC-5,Bryce Harper,Philadelphia Phillies,
Nocturnal,NOC-6,Aaron Judge,New York Yankees,
Nocturnal,NOC-7,Juan Soto,New York Mets,
Nocturnal,NOC-8,Yoshinobu Yamamoto,Los Angeles Dodgers,
Nocturnal,NOC-9,Vladimir Guerrero Jr.,Toronto Blue Jays,
Nocturnal,NOC-10,Ronald Acuña Jr.,Atlanta Braves,
Nocturnal,NOC-11,Dylan Crews,Washington Nationals,
Nocturnal,NOC-12,Fernando Tatis Jr.,San Diego Padres,
Nocturnal,NOC-13,Jackson Holliday,Baltimore Orioles,
Nocturnal,NOC-14,Gunnar Henderson,Baltimore Orioles,
Nocturnal,NOC-15,Elly De La Cruz,Cincinnati Reds,
Nocturnal,NOC-16,Paul Skenes,Pittsburgh Pirates,
Nocturnal,NOC-17,Jackson Merrill,San Diego Padres,
Nocturnal,NOC-18,Jackson Chourio,Milwaukee Brewers,
Nocturnal,NOC-19,Julio Rodríguez,Seattle Mariners,
Nocturnal,NOC-20,Pete Alonso,New York Mets,
Nocturnal,NOC-21,Yordan Alvarez,Houston Astros,
Nocturnal,NOC-22,Rafael Devers,Boston Red Sox,
Nocturnal,NOC-23,Trea Turner,Philadelphia Phillies,
Nocturnal,NOC-24,Adley Rutschman,Baltimore Orioles,
Nocturnal,NOC-25,Royce Lewis,Minnesota Twins,
Nocturnal,NOC-26,Bobby Witt Jr.,Kansas City Royals,
Nocturnal,NOC-27,José Ramírez,Cleveland Guardians,
Nocturnal,NOC-28,Wyatt Langford,Texas Rangers,
Nocturnal,NOC-29,Corey Seager,Texas Rangers,
Nocturnal,NOC-30,Matt Chapman,San Francisco Giants,
Nocturnal,NOC-31,Luis Robert Jr.,Chicago White Sox,
Nocturnal,NOC-32,Kumar Rocker,Texas Rangers,
Nocturnal,NOC-33,Luisangel Acuña,New York Mets,
Nocturnal,NOC-34,James Wood,Washington Nationals,
Nocturnal,NOC-35,Jacob Wilson,Athletics,
Nocturnal,NOC-36,Shota Imanaga,Chicago Cubs,
Nocturnal,NOC-37,Corbin Carroll,Arizona Diamondbacks,
Nocturnal,NOC-38,Junior Caminero,Tampa Bay Rays,
Nocturnal,NOC-39,Jarren Duran,Boston Red Sox,
Nocturnal,NOC-40,Colt Keith,Detroit Tigers,
Pitch Black Pairings Dual Autographs,PDPA-AJ,Chipper Jones / Ronald Acuña Jr.,Atlanta Braves,
Pitch Black Pairings Dual Autographs,PDPA-BD,Wade Boggs / Rafael Devers,Boston Red Sox,
Pitch Black Pairings Dual Autographs,PDPA-BW,George Brett / Bobby Witt Jr.,Kansas City Royals,
Pitch Black Pairings Dual Autographs,PDPA-BY,Adrián Beltré / Michael Young,Texas Rangers,
Pitch Black Pairings Dual Autographs,PDPA-GG,Vladimir Guerrero Jr. / Vladimir Guerrero,Toronto Blue Jays,
Pitch Black Pairings Dual Autographs,PDPA-GG,Vladimir Guerrero Jr. / Vladimir Guerrero,Montréal Expos,
Pitch Black Pairings Dual Autographs,PDPA-HC,Jackson Holliday / Jackson Chourio,Baltimore Orioles,
Pitch Black Pairings Dual Autographs,PDPA-HC,Jackson Holliday / Jackson Chourio,Milwaukee Brewers,
Pitch Black Pairings Dual Autographs,PDPA-JM,Randy Johnson / Pedro Martinez,Montréal Expos,
Pitch Black Pairings Dual Autographs,PDPA-LM,Fred McGriff / Evan Longoria,Tampa Bay Rays,
Pitch Black Pairings Dual Autographs,PDPA-RH,Gunnar Henderson / Cal Ripken Jr.,Baltimore Orioles,
Pitch Black Pairings Dual Autographs,PDPA-TF,Frank Thomas / Carlton Fisk,Chicago White Sox,
Pitch Black Pairings Dual Autographs,PDPA-WC,James Wood / Dylan Crews,Washington Nationals,
Pitch Black Pairings Dual Autographs,PDPA-YM,Paul Molitor / Robin Yount,Milwaukee Brewers,
Pitch Black Pairings Dual Autographs,PDPA-YS,Christian Yelich / Gary Sheffield,Milwaukee Brewers,
Rookie Design Variations,7,Ryan Bliss,Seattle Mariners,
Rookie Design Variations,8,Brooks Lee,Minnesota Twins,
Rookie Design Variations,12,Jace Jung,Detroit Tigers,
Rookie Design Variations,15,Jhonkensy Noel,Cleveland Guardians,
Rookie Design Variations,16,Jackson Jobe,Detroit Tigers,
Rookie Design Variations,23,Spencer Schwellenbach,Atlanta Braves,
Rookie Design Variations,24,Coby Mayo,Baltimore Orioles,
Rookie Design Variations,30,Kumar Rocker,Texas Rangers,
Rookie Design Variations,41,Nick Yorke,Pittsburgh Pirates,
Rookie Design Variations,42,Justyn-Henry Malloy,Detroit Tigers,
Rookie Design Variations,43,DJ Herz,Washington Nationals,
Rookie Design Variations,45,Kevin Alcántara,Chicago Cubs,
Rookie Design Variations,49,Hayden Birdsong,San Francisco Giants,
Rookie Design Variations,54,Orelvis Martinez,Toronto Blue Jays,
Rookie Design Variations,75,Connor Norby,Miami Marlins,
Rookie Design Variations,77,Rece Hinds,Cincinnati Reds,
Rookie Design Variations,88,Luisangel Acuña,New York Mets,
Rookie Design Variations,92,Jacob Wilson,Athletics,
Rookie Design Variations,96,Thomas Saggese,St. Louis Cardinals,
Rookie Design Variations,112,River Ryan,Los Angeles Dodgers,
Rookie Design Variations,118,Drew Thorpe,Chicago White Sox,
Rookie Design Variations,119,Zebby Matthews,Minnesota Twins,
Rookie Design Variations,121,Caden Dana,Los Angeles Angels,
Rookie Design Variations,123,James Wood,Washington Nationals,
Rookie Design Variations,124,David Festa,Minnesota Twins,
Rookie Design Variations,127,Dylan Crews,Washington Nationals,
Rookie Design Variations,136,Tyler Locklear,Seattle Mariners,
Rookie Design Variations,141,Adael Amador,Colorado Rockies,
Rookie Design Variations,146,Rhett Lowder,Cincinnati Reds,
Rookie Design Variations,151,Pedro León,Houston Astros,
Super Futures Autographs,FSA-AP,Andy Pages,Los Angeles Dodgers,
Super Futures Autographs,FSA-BL,Brooks Lee,Minnesota Twins,
Super Futures Autographs,FSA-BR,Ben Rice,New York Yankees,
Super Futures Autographs,FSA-CC,Colton Cowser,Baltimore Orioles,
Super Futures Autographs,FSA-CD,Caden Dana,Los Angeles Angels,
Super Futures Autographs,FSA-CK,Colt Keith,Detroit Tigers,
Super Futures Autographs,FSA-CMA,Coby Mayo,Baltimore Orioles,
Super Futures Autographs,FSA-CR,Ceddanne Rafaela,Boston Red Sox,
Super Futures Autographs,FSA-DC,Dylan Crews,Washington Nationals,
Super Futures Autographs,FSA-EC,Evan Carter,Texas Rangers,
Super Futures Autographs,FSA-ED,Elly De La Cruz,Cincinnati Reds,
Super Futures Autographs,FSA-HK,Heston Kjerstad,Baltimore Orioles,
Super Futures Autographs,FSA-JB,Jordan Beck,Colorado Rockies,
Super Futures Autographs,FSA-JCH,Jackson Chourio,Milwaukee Brewers,
Super Futures Autographs,FSA-JD,Jasson Domínguez,New York Yankees,
Super Futures Autographs,FSA-JH,Jackson Holliday,Baltimore Orioles,
Super Futures Autographs,FSA-JL,Jung Hoo Lee,San Francisco Giants,
Super Futures Autographs,FSA-JLA,Jordan Lawlar,Arizona Diamondbacks,
Super Futures Autographs,FSA-JM,Jackson Merrill,San Diego Padres,
Super Futures Autographs,FSA-JW,James Wood,Washington Nationals,
Super Futures Autographs,FSA-JWI,Jacob Wilson,Athletics,
Super Futures Autographs,FSA-KM,Kyle Manzardo,Cleveland Guardians,
Super Futures Autographs,FSA-KR,Kumar Rocker,Texas Rangers,
Super Futures Autographs,FSA-PS,Paul Skenes,Pittsburgh Pirates,
Super Futures Autographs,FSA-RL,Rhett Lowder,Cincinnati Reds,
Super Futures Autographs,FSA-SF,Sal Frelick,Milwaukee Brewers,
Super Futures Autographs,FSA-WL,Wyatt Langford,Texas Rangers,
Super Futures Autographs,FSA-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,
