Variety,Card Number,Player Name,Team Name,Notes,Parallel
Base,US144,Maikel Garcia,Kansas City Royals,RC,
Base,US145,Jeter Downs,Washington Nationals,RC,
Base,US146,Nick Castellanos / Jonathan India,Philadelphia Phillies,- Veteran Combo,
Base,US146,Nick Castellanos / Jonathan India,Cincinnati Reds,- Veteran Combo,
Base,US147,Nolan Arenado / Paul Goldschmidt,St. Louis Cardinals,- Veteran Combo,
Base,US148,Garrett Mitchell,Milwaukee Brewers,- Rookie Debut,
Base,US149,Levi Stoudt,Cincinnati Reds,RC,
Base,US150,Noah Syndergaard,Los Angeles Dodgers,,
Base,US151,Nicky Lopez,Kansas City Royals,,
Base,US152,Omar Narváez,New York Mets,,
Base,US153,Jeff Lindgren RC / Bryan Hoeing RC,Miami Marlins,,
Base,US154,Cristian Pache,Philadelphia Phillies,,
Base,US155,Brad Hand,Colorado Rockies,,
Base,US156,Cole Ragans,Texas Rangers,RC,
Base,US157,John Brebbia,San Francisco Giants,,
Base,US158,Brett Baty,New York Mets,- Rookie Debut,
Base,US159,J.P. France,Houston Astros,RC,
Base,US160,Caleb Hamilton,Boston Red Sox,RC,
Base,US161,Gabriel Moreno,Arizona Diamondbacks,RC,
Base,US162,Jake Bird,Colorado Rockies,RC,
Base,US163,Christopher Morel,Chicago Cubs,- Rookie Debut,
Base,US164,Jason Heyward,Los Angeles Dodgers,,
Base,US165,Mike Clevinger,Chicago White Sox,,
Base,US166,Matt Barnes,Miami Marlins,,
Base,US167,Tyler Wade,Oakland Athletics,,
Base,US168,Tanner Bibee,Cleveland Guardians,RC,
Base,US169,Amir Garrett,Kansas City Royals,,
Base,US170,Rowan Wick,Chicago Cubs,,
Base,US171,Brett Phillips,Los Angeles Angels,,
Base,US172,Patrick Corbin,Washington Nationals,,
Base,US173,Elvis Andrus,Chicago White Sox,,
Base,US174,Brett Wisely,San Francisco Giants,RC,
Base,US175,Zach McKinstry,Detroit Tigers,,
Base,US176,Chad Green,Toronto Blue Jays,,
Base,US177,Mitch Garver,Texas Rangers,,
Base,US178,Bryce Miller,Seattle Mariners,RC,
Base,US179,Max Muncy,Los Angeles Dodgers,- Season Highlights,
Base,US180,Adley Rutschman,Baltimore Orioles,- Rookie Debut,
Base,US181,Shea Langeliers,Oakland Athletics,- Rookie Debut,
Base,US182,Seth Lugo,San Diego Padres,,
Base,US183,Jose Caballero,Seattle Mariners,RC,
Base,US184,Brandon Woodruff,Milwaukee Brewers,,
Base,US185,Jose Hernandez,Pittsburgh Pirates,RC,
Base,US186,Narciso Crook,Boston Red Sox,RC,
Base,US187,Canaan Smith-Njigba,Pittsburgh Pirates,RC,
Base,US188,Bobby Miller,Los Angeles Dodgers,RC,
Base,US189,Tommy La Stella,Seattle Mariners,,
Base,US190,Jordan Lyles,Kansas City Royals,,
Base,US191,J.P. Feyereisen,Los Angeles Dodgers,,
Base,US192,Garrett Acton,Oakland Athletics,RC,
Base,US193,Bryce Miller,Seattle Mariners,- Rookie Debut,
Base,US194,Aroldis Chapman,Kansas City Royals,,
Base,US195,Ben Joyce,Los Angeles Angels,RC,
Base,US196,Zack Weiss,Los Angeles Angels,RC,
Base,US197,William Contreras,Milwaukee Brewers,,
Base,US198,Casey Schmitt,San Francisco Giants,- Rookie Debut,
Base,US199,Matt McLain,Cincinnati Reds,RC,
Base,US200,Carlos Rodón,New York Yankees,,
Base,US201,Blake Sabol,San Francisco Giants,RC,
Base,US202,Clayton Kershaw,Los Angeles Dodgers,- Season Highlights,
Base,US203,Stuart Fairchild,Cincinnati Reds,,
Base,US204,Hunter Renfroe,Los Angeles Angels,,
Base,US205,Oscar Colás,Chicago White Sox,- Rookie Debut,
Base,US206,Braden Shewmake,Atlanta Braves,RC,
Base,US207,Juan Yepez,St. Louis Cardinals,,
Base,US208,Ji-Man Choi,Pittsburgh Pirates,,
Base,US209,Kolby Allard,Atlanta Braves,,
Base,US210,Mason Miller,Oakland Athletics,- Rookie Debut,
Base,US211,Estevan Florial,New York Yankees,,
Base,US212,Nolan Gorman,St. Louis Cardinals,- Rookie Debut,
Base,US213,Ryan McKenna,Baltimore Orioles,,
Base,US214,Brayan Rocchio,Cleveland Guardians,RC,
Base,US215,Romy Gonzalez,Chicago White Sox,,
Base,US216,Sean Bouchard,Colorado Rockies,RC,
Base,US217,Mark Melancon,Arizona Diamondbacks,,
Base,US218,Jurickson Profar,Colorado Rockies,,
Base,US219,Dillon Tate,Baltimore Orioles,,
Base,US220,Jason Delay,Pittsburgh Pirates,RC,
Base,US221,Triston Casas,Boston Red Sox,- Rookie Debut,
Base,US222,Edouard Julien,Minnesota Twins,RC,
Base,US223,Cody Bolton,Pittsburgh Pirates,RC,
Base,US224,Jake Irvin,Washington Nationals,RC,
Base,US225,Michael Harris II,Atlanta Braves,- Rookie Debut,
Base,US226,Matt Strahm,Philadelphia Phillies,,
Base,US227,Jonathan Loáisiga,New York Yankees,,
Base,US228,Corey Julks,Houston Astros,RC,
Base,US229,Rougned Odor,San Diego Padres,,
Base,US230,Sam Haggerty,Seattle Mariners,,
Base,US231,David Peralta,Los Angeles Dodgers,,
Base,US232,Connor Wong,Boston Red Sox,,
Base,US233,Logan Allen,Cleveland Guardians,RC,
Base,US234,Orlando Arcia,Atlanta Braves,,
Base,US235,Yimi García,Toronto Blue Jays,,
Base,US236,Matt Mervis,Chicago Cubs,- Rookie Debut,
Base,US237,Joey Wendle,Miami Marlins,,
Base,US238,Sam Bachman,Los Angeles Angels,RC,
Base,US239,James Karinchak,Cleveland Guardians,,
Base,US240,James Kaprielian,Oakland Athletics,,
Base,US241,Gus Varland,Milwaukee Brewers,RC,
Base,US242,Blake Perkins,Milwaukee Brewers,RC,
Base,US243,Vince Velasquez,Pittsburgh Pirates,,
Base,US244,Corbin Carroll,Arizona Diamondbacks,- Rookie Debut,
Base,US245,Joey Wiemer,Milwaukee Brewers,RC,
Base,US246,Jose Cuas,Kansas City Royals,RC,
Base,US247,Fernando Tatis Jr. / Manny Machado,San Diego Padres,- Veteran Combo,
Base,US248,James McCann,Baltimore Orioles,,
Base,US249,Kyle Finnegan,Washington Nationals,,
Base,US250,Teoscar Hernández,Seattle Mariners,,
Base,US251,William Contreras / Corbin Burnes,Milwaukee Brewers,- Veteran Combo,
Base,US252,Gregory Soto,Philadelphia Phillies,,
Base,US253,Alex Call,Washington Nationals,RC,
Base,US254,Zach Eflin,Tampa Bay Rays,,
Base,US255,Francisco Alvarez,New York Mets,- Rookie Debut,
Base,US256,Michael Busch,Los Angeles Dodgers,RC,
Base,US257,Leody Taveras,Texas Rangers,,
Base,US258,Caleb Thielbar,Minnesota Twins,,
Base,US259,Gio Urshela,Los Angeles Angels,,
Base,US260,Kevin Kelly,Tampa Bay Rays,RC,
Base,US261,Alex Vesia,Los Angeles Dodgers,,
Base,US262,Cody Sedlock RC / Michael Papierski RC,Detroit Tigers,,
Base,US263,Sam Hilliard,Atlanta Braves,,
Base,US264,LaMonte Wade Jr.,San Francisco Giants,,
Base,US265,Jared Koenig RC / Anderson Espinoza RC,San Diego Padres,,
Base,US266,Andrew Nardi,Miami Marlins,RC,
Base,US267,Peyton Battenfield,Cleveland Guardians,RC,
Base,US268,Anthony DeScalfani,San Francisco Giants,,
Base,US269,Anthony Volpe / Aaron Judge,New York Yankees,- Veteran Combo,
Base,US270,Wandy Peralta,New York Yankees,,
Base,US271,José Alvarado,Philadelphia Phillies,,
Base,US272,Trevor Stephan,Cleveland Guardians,,
Base,US273,Jose Barrero,Cincinnati Reds,,
Base,US274,Matt Moore,Los Angeles Angels,,
Base,US275,Oscar Gonzalez,Cleveland Guardians,- Rookie Debut,
Base,US276,Frankie Montas,New York Yankees,,
Base,US277,Casey Legumina,Cincinnati Reds,RC,
Base,US278,Seranthony Domínguez,Philadelphia Phillies,,
Base,US279,Jhony Brito,New York Yankees,RC,
Base,US280,Taylor Rogers,San Francisco Giants,,
Base,US281,Michael Fulmer,Chicago Cubs,,
Base,US282,Braden Bristo,Detroit Tigers,RC,
Base,US283,Ezequiel Tovar,Colorado Rockies,- Rookie Debut,
Base,US284,Miguel Castro,Arizona Diamondbacks,,
Base,US285,Tyler Alexander,Detroit Tigers,,
Base,US286,Brandon Williamson,Cincinnati Reds,RC,
Base,US287,Jason Alexander RC / Peter Strzelecki RC,Milwaukee Brewers,,
Base,US288,Nick Duron RC / Tom Cosgrove RC,San Diego Padres,,
Base,US289,Tom Murphy,Seattle Mariners,,
Base,US290,Gabriel Moreno,Toronto Blue Jays,- Rookie Debut,
Base,US291,Spencer Turnbull,Detroit Tigers,,
Base,US292,Pete Alonso,New York Mets,- Season Highlights,
Base,US293,Wynton Bernard,Toronto Blue Jays,RC,
Base,US294,Hobie Harris,Washington Nationals,RC,
Base,US295,Cooper Hummel,Seattle Mariners,,
Base,US296,Xavier Edwards,Miami Marlins,RC,
Base,US297,Chase De Jong,Pittsburgh Pirates,,
Base,US298,Riley Greene,Detroit Tigers,- Rookie Debut,
Base,US299,Aaron Hicks,Baltimore Orioles,,
Base,US300,Cody Bellinger,Chicago Cubs,,
Base,US301,Bailey Ober,Minnesota Twins,,
Base,US302,Pablo López / Luis Arraez,Minnesota Twins,- Veteran Combo,
Base,US303,Josh Lowe,Tampa Bay Rays,,
Base,US304,Elier Hernández,Texas Rangers,RC,
Base,US305,Jose Miranda / Carlos Correa,Minnesota Twins,- Veteran Combo,
Base,US306,Kenley Jansen,Boston Red Sox,,
Base,US307,Kyle Lewis,Arizona Diamondbacks,,
Base,US308,Josh Jung,Texas Rangers,- Rookie Debut,
Base,US309,Jared Shuster,Atlanta Braves,- Rookie Debut,
Base,US310,Enmanuel Valdez,Boston Red Sox,RC,
Base,US311,Luis Medina,Oakland Athletics,RC,
Base,US312,Jonathan Hernández,Texas Rangers,,
Base,US313,Mike Trout / Matt Chapman,Los Angeles Angels,- Veteran Combo,
Base,US313,Mike Trout / Matt Chapman,Toronto Blue Jays,- Veteran Combo,
Base,US314,Brenton Doyle,Colorado Rockies,RC,
Base,US315,Hunter Brown,Houston Astros,- Rookie Debut,
Base,US316,Joey Wiemer,Milwaukee Brewers,- Rookie Debut,
Base,US317,Eury Pérez,Miami Marlins,- Rookie Debut,
Base,US318,César Salazar RC / Matt Gage RC,Houston Astros,,
Base,US319,Jesse Winker,Milwaukee Brewers,,
Base,US320,George Soriano,Miami Marlins,RC,
Base,US321,Jarred Kelenic,Seattle Mariners,,
Base,US322,Logan Gillaspie RC / Nick Vespi RC,Baltimore Orioles,,
Base,US323,JP Sears,Oakland Athletics,,
Base,US324,Jared Shuster,Atlanta Braves,RC,
Base,US325,Stephen Strasburg,Washington Nationals,,
Base,US326,Dustin May,Los Angeles Dodgers,,
Base,US327,Sam Hentges,Cleveland Guardians,,
Base,US328,Christian Yelich / Willy Adames,Milwaukee Brewers,- Veteran Combo,
Base,US329,Zach Neto,Los Angeles Angels,- Rookie Debut,
Base,US330,JJ Bleday,Oakland Athletics,RC,
1988 Topps Baseball,88US-1,Trea Turner,Philadelphia Phillies,,
1988 Topps Baseball,88US-2,Taj Bradley,Tampa Bay Rays,,
1988 Topps Baseball,88US-3,Mike Trout,Los Angeles Angels,,
1988 Topps Baseball,88US-4,Gabriel Moreno,Arizona Diamondbacks,,
1988 Topps Baseball,88US-5,James Outman,Los Angeles Dodgers,,
1988 Topps Baseball,88US-6,Ronald Acuña Jr.,Atlanta Braves,,
1988 Topps Baseball,88US-7,Matt Olson,Atlanta Braves,,
1988 Topps Baseball,88US-8,Michael Busch,Los Angeles Dodgers,,
1988 Topps Baseball,88US-9,Gunnar Henderson,Baltimore Orioles,,
1988 Topps Baseball,88US-10,Mike Mussina,Baltimore Orioles,,
1988 Topps Baseball,88US-11,Mason Miller,Oakland Athletics,,
1988 Topps Baseball,88US-12,Matt Mervis,Chicago Cubs,,
1988 Topps Baseball,88US-13,Masataka Yoshida,Boston Red Sox,,
1988 Topps Baseball,88US-14,Greg Maddux,Chicago Cubs,,
1988 Topps Baseball,88US-15,Casey Schmitt,San Francsico Giants,,
1988 Topps Baseball,88US-16,Tanner Bibee,Cleveland Guardians,,
1988 Topps Baseball,88US-17,Carlton Fisk,Chicago White Sox,,
1988 Topps Baseball,88US-18,Enmanuel Valdez,Boston Red Sox,,
1988 Topps Baseball,88US-19,Zach Neto,Los Angeles Angels,,
1988 Topps Baseball,88US-20,Johnny Bench,Cincinnati Reds,,
1988 Topps Baseball,88US-21,Triston McKenzie,Cleveland Guardians,,
1988 Topps Baseball,88US-22,Nolan Jones,Colorado Rockies,,
1988 Topps Baseball,88US-23,Joey Wiemer,Milwaukee Brewers,,
1988 Topps Baseball,88US-24,Riley Greene,Detroit Tigers,,
1988 Topps Baseball,88US-25,Nolan Ryan,Houston Astros,,
1988 Topps Baseball,88US-26,Craig Biggio,Houston Astros,,
1988 Topps Baseball,88US-27,Edouard Julien,Minnesota Twins,,
1988 Topps Baseball,88US-28,Eury Pérez,Miami Marlins,,
1988 Topps Baseball,88US-29,Gavin Stone,Los Angeles Dodgers,,
1988 Topps Baseball,88US-30,Joey Ortiz,Baltimore Orioles,,
1988 Topps Baseball,88US-31,Matt Wallner,Minnesota Twins,,
1988 Topps Baseball,88US-32,Jared Shuster,Atlanta Braves,,
1988 Topps Baseball,88US-33,Kodai Senga,New York Mets,,
1988 Topps Baseball,88US-34,Justin Verlander,New York Mets,,
1988 Topps Baseball,88US-35,Derek Jeter,New York Yankees,,
1988 Topps Baseball,88US-36,Aaron Judge,New York Yankees,,
1988 Topps Baseball,88US-37,Bryce Miller,Seattle Mariners,,
1988 Topps Baseball,88US-38,Bryce Harper,Philadelphia Phillies,,
1988 Topps Baseball,88US-39,Bobby Miller,Los Angeles Dodgers,,
1988 Topps Baseball,88US-40,Andrew McCutchen,Pittsburgh Pirates,,
1988 Topps Baseball,88US-41,Fernando Tatis Jr.,San Diego Padres,,
1988 Topps Baseball,88US-42,Brandon Pfaadt,Arizona Diamondbacks,,
1988 Topps Baseball,88US-43,Julio Rodríguez,Seattle Mariners,,
1988 Topps Baseball,88US-44,Ken Griffey Jr.,Seattle Mariners,,
1988 Topps Baseball,88US-45,Adrián Beltré,Texas Rangers,,
1988 Topps Baseball,88US-46,Vladimir Guerrero Jr.,Toronto Blue Jays,,
1988 Topps Baseball,88US-47,Brayan Rocchio,Cleveland Guardians,,
1988 Topps Baseball,88US-48,Grayson Rodriguez,Baltimore Orioles,,
1988 Topps Baseball,88US-49,Jordan Walker,St. Louis Cardinals,,
1988 Topps Baseball,88US-50,Anthony Volpe,New York Yankees,,
1988 Topps Baseball All-Star Autographs,88ASA-ABE,Adrián Beltré,Texas Rangers,,
1988 Topps Baseball All-Star Autographs,88ASA-AM,Alek Manoah,Toronto Blue Jays,,
1988 Topps Baseball All-Star Autographs,88ASA-BW,Bernie Williams,New York Yankees,,
1988 Topps Baseball All-Star Autographs,88ASA-CM,Cedric Mullins,Baltimore Orioles,,
1988 Topps Baseball All-Star Autographs,88ASA-CR,Cal Ripken Jr.,Baltimore Orioles,,
1988 Topps Baseball All-Star Autographs,88ASA-CS,CC Sabathia,New York Yankees,,
1988 Topps Baseball All-Star Autographs,88ASA-CY,Christian Yelich,Milwaukee Brewers,,
1988 Topps Baseball All-Star Autographs,88ASA-ED,Eric Davis,Cincinnati Reds,,
1988 Topps Baseball All-Star Autographs,88ASA-FH,Félix Hernández,Seattle Mariners,,
1988 Topps Baseball All-Star Autographs,88ASA-IR,Ivan Rodriguez,Texas Rangers,,
1988 Topps Baseball All-Star Autographs,88ASA-JA,Jose Altuve,Houston Astros,,
1988 Topps Baseball All-Star Autographs,88ASA-JCA,Jose Canseco,Oakland Athletics,,
1988 Topps Baseball All-Star Autographs,88ASA-JCJ,Jazz Chisholm Jr.,Miami Marlins,,
1988 Topps Baseball All-Star Autographs,88ASA-JM,Juan Marichal,San Francisco Giants,,
1988 Topps Baseball All-Star Autographs,88ASA-JRO,Jimmy Rollins,Philadelphia Phillies,,
1988 Topps Baseball All-Star Autographs,88ASA-JV,Joey Votto,Cincinnati Reds,,
1988 Topps Baseball All-Star Autographs,88ASA-KT,Kyle Tucker,Houston Astros,,
1988 Topps Baseball All-Star Autographs,88ASA-MC,Miguel Cabrera,Detroit Tigers,,
1988 Topps Baseball All-Star Autographs,88ASA-MS,Mike Schmidt,Philadelphia Phillies,,
1988 Topps Baseball All-Star Autographs,88ASA-NR,Nolan Ryan,Houston Astros,,
1988 Topps Baseball All-Star Autographs,88ASA-PG,Paul Goldschmidt,St. Louis Cardinals,,
1988 Topps Baseball All-Star Autographs,88ASA-PK,Paul Konerko,Chicago White Sox,,
1988 Topps Baseball All-Star Autographs,88ASA-PO,Paul O'Neill,New York Yankees,,
1988 Topps Baseball All-Star Autographs,88ASA-RY,Robin Yount,Milwaukee Brewers,,
1988 Topps Baseball All-Star Autographs,88ASA-SO,Shohei Ohtani,Los Angeles Angels,,
1988 Topps Baseball All-Star Autographs,88ASA-SR,Scott Rolen,St. Louis Cardinals,,
1988 Topps Baseball All-Star Autographs,88ASA-THU,Torii Hunter,Los Angeles Angels,,
1988 Topps Baseball All-Star Autographs,88ASA-TP,Tony Pérez,Cincinnati Reds,,
1988 Topps Baseball All-Star Autographs,88ASA-TT,Trea Turner,Los Angeles Dodgers,,
1988 Topps Baseball All-Star Autographs,88ASA-WB,Walker Buehler,Los Angeles Dodgers,,
1988 Topps Baseball All-Star Autographs,88ASA-WCO,Willson Contreras,Chicago Cubs,,
1988 Topps Baseball All-Star Autographs,88ASA-YA,Yordan Alvarez,Houston Astros,,
1988 Topps Baseball Autographs,88BA-AVA,Andrew Vaughn,Chicago White Sox,,
1988 Topps Baseball Autographs,88BA-BM,Bobby Miller,Los Angeles Dodgers,,
1988 Topps Baseball Autographs,88BA-BR,Brayan Rocchio,Cleveland Guardians,,
1988 Topps Baseball Autographs,88BA-CM,Cedric Mullins,Baltimore Orioles,,
1988 Topps Baseball Autographs,88BA-CP,Carlos Pérez,Chicago White Sox,,
1988 Topps Baseball Autographs,88BA-CR,Cole Ragans,Texas Rangers,,
1988 Topps Baseball Autographs,88BA-CS,Cal Stevenson,Oakland Athletics,,
1988 Topps Baseball Autographs,88BA-DG,Dermis Garcia,Oakland Athletics,,
1988 Topps Baseball Autographs,88BA-DH,David Hensley,Houston Astros,,
1988 Topps Baseball Autographs,88BA-DST,Darryl Strawberry,New York Mets,,
1988 Topps Baseball Autographs,88BA-EP,Eury Pérez,Miami Marlins,,
1988 Topps Baseball Autographs,88BA-ER,Eguy Rosario,San Diego Padres,,
1988 Topps Baseball Autographs,88BA-GM,Greg Maddux,Atlanta Braves,,
1988 Topps Baseball Autographs,88BA-GM,Garrett Mitchell,Milwaukee Brewers,,
