Variety,Card Number,Player/Athlete,Team,Rookie,Parallel
Base,56,Gleyber Torres,New York Yankees,,
Base,57,Joey Gallo,Minnesota Twins,,
Base,58,Sean Murphy,Atlanta Braves,,
Base,59,Matt Chapman,Toronto Blue Jays,,
Base,60,Sean Manaea,San Francisco Giants,,
Base,61,Starling Marte,New York Mets,,
Base,62,Andrew McCutchen,Pittsburgh Pirates,,
Base,63,J.T. Realmuto,Philadelphia Phillies,,
Base,64,Rhys Hoskins,Philadelphia Phillies,,
Base,65,Bryan Reynolds,Pittsburgh Pirates,,
Base,66,Ke'Bryan Hayes,Pittsburgh Pirates,,
Base,67,Blake Snell,San Diego Padres,,
Base,68,Jake Cronenworth,San Diego Padres,,
Base,69,Brandon Crawford,San Francisco Giants,,
Base,70,Kevin Gausman,Toronto Blue Jays,,
Base,71,Mike Yastrzemski,San Francisco Giants,,
Base,72,J.P. Crawford,Seattle Mariners,,
Base,73,Adam Wainwright,St. Louis Cardinals,,
Base,74,Dylan Carlson,St. Louis Cardinals,,
Base,75,Jack Flaherty,St. Louis Cardinals,,
Base,76,Shane McClanahan,Tampa Bay Rays,,
Base,77,Brandon Lowe,Tampa Bay Rays,,
Base,78,Randy Arozarena,Tampa Bay Rays,,
Base,79,Tyler Glasnow,Tampa Bay Rays,,
Base,80,Adolis García,Texas Rangers,,
Base,81,Mitch Haniger,San Francisco Giants,,
Base,82,Tyler O'Neill,St. Louis Cardinals,,
Base,83,Marcus Semien,Texas Rangers,,
Base,84,Teoscar Hernández,Seattle Mariners,,
Base,85,Josh Bell,Cleveland Guardians,,
Base,86,Chris Taylor,Los Angeles Dodgers,,
Base,87,Stephen Strasburg,Washington Nationals,,
Base,88,Tarik Skubal,Detroit Tigers,,
Base,89,Jonathan India,Cincinnati Reds,,
Base,90,Zack Wheeler,Philadelphia Phillies,,
Base,91,Robbie Ray,Seattle Mariners,,
Base,92,Frankie Montas,New York Yankees,,
Base,93,Ty France,Seattle Mariners,,
Base,94,Michael Kopech,Chicago White Sox,,
Base,95,Kyle Wright,Atlanta Braves,,
Base,96,Taylor Ward,Los Angeles Angels,,
Base,97,Yasmani Grandal,Chicago White Sox,,
Base,98,Yuli Gurriel,Houston Astros,,
Base,99,Harrison Bader,New York Yankees,,
Base,100,Mookie Betts,Los Angeles Dodgers,,
Base,101,Kodai Senga,New York Mets,RC,
Base,102,Luis Severino,New York Yankees,,
Base,103,Lucas Giolito,Chicago White Sox,,
Base,104,Liam Hendriks,Chicago White Sox,,
Base,105,Max Fried,Atlanta Braves,,
Base,106,Chris Bassitt,Toronto Blue Jays,,
Base,107,Brandon Nimmo,New York Mets,,
Base,108,Travis d'Arnaud,Atlanta Braves,,
Base,109,Rowdy Tellez,Milwaukee Brewers,,
Base,110,Alec Bohm,Philadelphia Phillies,,
Base,111,Luke Voit,Washington Nationals,,
Base,112,Connor Joe,Pittsburgh Pirates,,
Base,113,Jurickson Profar,San Diego Padres,,
Base,114,Tommy Edman,St. Louis Cardinals,,
Base,115,Masataka Yoshida,Boston Red Sox,RC,
Base,116,Kolten Wong,Seattle Mariners,,
Base,117,Nestor Cortes,New York Yankees,,
Base,118,Cedric Mullins,Baltimore Orioles,,
Base,119,Jose Siri,Tampa Bay Rays,,
Base,120,Edward Cabrera,Miami Marlins,,
Base,121,Roansy Contreras,Pittsburgh Pirates,,
Base,122,Cal Raleigh,Seattle Mariners,,
Base,123,Shane Baz,Tampa Bay Rays,,
Base,124,Josiah Gray,Washington Nationals,,
Base,125,Brendan Donovan,St. Louis Cardinals,,
Base,126,Ryan Pepiot,Los Angeles Dodgers,,
Base,127,Ian Anderson,Atlanta Braves,,
Base,128,Charlie Blackmon,Colorado Rockies,,
Base,129,Ryan McMahon,Colorado Rockies,,
Base,130,Nick Castellanos,Philadelphia Phillies,,
Base,131,Amed Rosario,Cleveland Guardians,,
Base,132,Patrick Wisdom,Chicago Cubs,,
Base,133,Andrew Benintendi,Chicago White Sox,,
Base,134,Andrés Giménez,Cleveland Guardians,,
Base,135,Justin Turner,Boston Red Sox,,
Base,136,Whit Merrifield,Toronto Blue Jays,,
Base,137,Brandon Woodruff,Milwaukee Brewers,,
Base,138,Josh Donaldson,New York Yankees,,
Base,139,Max Kepler,Minnesota Twins,,
Base,140,Logan Webb,San Francisco Giants,,
Base,141,Jarred Kelenic,Seattle Mariners,,
Base,142,Kyle Lewis,Arizona Diamondbacks,,
Base,143,Lourdes Gurriel Jr.,Arizona Diamondbacks,,
Base,144,Emmanuel Clase,Cleveland Guardians,,
Base,145,Jeff McNeil,New York Mets,,
Base,146,C.J. Cron,Colorado Rockies,,
Base,147,Gavin Lux,Los Angeles Dodgers,,
Base,148,Andrew Heaney,Texas Rangers,,
Base,149,Logan Gilbert,Seattle Mariners,,
Base,150,Ronald Acuña Jr.,Atlanta Braves,,
Base,151,Jorge Polanco,Minnesota Twins,,
Base,152,Enrique Hernández,Boston Red Sox,,
Base,153,Kenley Jansen,Boston Red Sox,,
Base,154,Freddy Peralta,Milwaukee Brewers,,
Base,155,Zack Greinke,Kansas City Royals,,
Base,156,Trey Mancini,Chicago Cubs,,
Base,157,Eric Hosmer,Chicago Cubs,,
Base,158,Ha-Seong Kim,San Diego Padres,,
Base,159,Austin Hays,Baltimore Orioles,,
Base,160,Joey Bart,San Francisco Giants,,
Base,161,Zac Gallen,Arizona Diamondbacks,,
Base,162,Carlos Carrasco,New York Mets,,
Base,163,DJ LeMahieu,New York Yankees,,
Base,164,Hyun-Jin Ryu,Toronto Blue Jays,,
Base,165,Evan Longoria,Arizona Diamondbacks,,
Base,166,Lance Lynn,Chicago White Sox,,
Base,167,Noah Syndergaard,Los Angeles Dodgers,,
Base,168,Alex Verdugo,Boston Red Sox,,
Base,169,Anthony Santander,Baltimore Orioles,,
Base,170,Brandon Drury,Los Angeles Angels,,
Base,171,Daulton Varsho,Toronto Blue Jays,,
Base,172,Josh Rojas,Arizona Diamondbacks,,
Base,173,Thairo Estrada,San Francisco Giants,,
Base,174,Luis Arraez,Miami Marlins,,
Base,175,Alejandro Kirk,Toronto Blue Jays,,
Base,176,Nolan Jones,Colorado Rockies,RC,
Base,177,JJ Bleday,Miami Marlins,RC,
Base,178,Garrett Mitchell,Milwaukee Brewers,RC,
Base,179,Seiya Suzuki,Chicago Cubs,,
Base,180,Luis Castillo,Seattle Mariners,,
Base,181,Walker Buehler,Los Angeles Dodgers,,
Base,182,Hunter Renfroe,Los Angeles Angels,,
Base,183,Isiah Kiner-Falefa,New York Yankees,,
Base,184,Brady Singer,Kansas City Royals,,
Base,185,Vladimir Guerrero Jr.,Toronto Blue Jays,,
Base,186,Mark Canha,New York Mets,,
Base,187,Josh Naylor,Cleveland Guardians,,
Base,188,Nico Hoerner,Chicago Cubs,,
Base,189,William Contreras,Milwaukee Brewers,,
Base,190,Jesse Winker,Milwaukee Brewers,,
Base,191,Brendan Rodgers,Colorado Rockies,,
Base,192,Jean Segura,Miami Marlins,,
Base,193,Tony Gonsolin,Los Angeles Dodgers,,
Base,194,Tyler Anderson,Los Angeles Angels,,
Base,195,Edwin Díaz,New York Mets,,
Base,196,Ryan Helsley,St. Louis Cardinals,,
Base,197,Devin Williams,Milwaukee Brewers,,
Base,198,Miles Mikolas,St. Louis Cardinals,,
Base,199,Cristian Javier,Houston Astros,,
Base,200,Shohei Ohtani,Los Angeles Angels,,
Base,201,Alec Burleson,St. Louis Cardinals,RC,- Uncommon Rainbow Foil
Base,202,Miguel Vargas,Los Angeles Dodgers,RC,- Uncommon Rainbow Foil
Base,203,Logan O'Hoppe,Los Angeles Angels,RC,- Uncommon Rainbow Foil
Base,204,Ezequiel Tovar,Colorado Rockies,RC,- Uncommon Rainbow Foil
Base,205,Nick Pratto,Kansas City Royals,RC,- Uncommon Rainbow Foil
Base,206,Max Meyer,Miami Marlins,RC,- Uncommon Rainbow Foil
Base,207,DL Hall,Baltimore Orioles,RC,- Uncommon Rainbow Foil
Base,208,Cade Cavalli,Washington Nationals,RC,- Uncommon Rainbow Foil
Base,209,Matthew Liberatore,St. Louis Cardinals,RC,- Uncommon Rainbow Foil
Base,210,Christopher Morel,Chicago Cubs,RC,- Uncommon Rainbow Foil
Base,211,Brayan Bello,Boston Red Sox,RC,- Uncommon Rainbow Foil
Base,212,Shea Langeliers,Oakland Athletics,RC,- Uncommon Rainbow Foil
Base,213,Hunter Brown,Houston Astros,RC,- Uncommon Rainbow Foil
Base,214,Ken Waldichuk,Oakland Athletics,RC,- Uncommon Rainbow Foil
Base,215,Iván Herrera,St. Louis Cardinals,RC,- Uncommon Rainbow Foil
Base,216,Tim Anderson,Chicago White Sox,,- Uncommon Rainbow Foil
Base,217,José Abreu,Houston Astros,,- Uncommon Rainbow Foil
Base,218,Shane Bieber,Cleveland Guardians,,- Uncommon Rainbow Foil
Base,219,Sandy Alcantara,Miami Marlins,,- Uncommon Rainbow Foil
Base,220,Alek Manoah,Toronto Blue Jays,,- Uncommon Rainbow Foil
Base,221,Carlos Correa,Minnesota Twins,,- Uncommon Rainbow Foil
Base,222,George Springer,Toronto Blue Jays,,- Uncommon Rainbow Foil
Base,223,Dylan Cease,Chicago White Sox,,- Uncommon Rainbow Foil
Base,224,Jazz Chisholm Jr.,Miami Marlins,,- Uncommon Rainbow Foil
Base,225,Wander Franco,Tampa Bay Rays,,- Uncommon Rainbow Foil
Base,226,Oneil Cruz,Pittsburgh Pirates,,- Uncommon Rainbow Foil
Base,227,Spencer Strider,Atlanta Braves,,- Uncommon Rainbow Foil
Base,228,Spencer Torkelson,Detroit Tigers,,- Uncommon Rainbow Foil
Base,229,Hunter Greene,Cincinnati Reds,,- Uncommon Rainbow Foil
Base,230,Jeremy Peña,Houston Astros,,- Uncommon Rainbow Foil
Base,231,Yadier Molina,St. Louis Cardinals,,- Uncommon Rainbow Foil
Base,232,Dansby Swanson,Chicago Cubs,,- Uncommon Rainbow Foil
Base,233,Ozzie Albies,Atlanta Braves,,- Uncommon Rainbow Foil
Base,234,Ryan Mountcastle,Baltimore Orioles,,- Uncommon Rainbow Foil
Base,235,Javier Báez,Detroit Tigers,,- Uncommon Rainbow Foil
Base,236,Kris Bryant,Colorado Rockies,,- Uncommon Rainbow Foil
Base,237,Willson Contreras,St. Louis Cardinals,,- Uncommon Rainbow Foil
Base,238,Eloy Jiménez,Chicago White Sox,,- Uncommon Rainbow Foil
Base,239,Corbin Burnes,Milwaukee Brewers,,- Uncommon Rainbow Foil
Base,240,Kyle Tucker,Houston Astros,,- Uncommon Rainbow Foil
Base,241,Luis Robert,Chicago White Sox,,- Uncommon Rainbow Foil
Base,242,Joe Musgrove,San Diego Padres,,- Uncommon Rainbow Foil
Base,243,Yu Darvish,San Diego Padres,,- Uncommon Rainbow Foil
Base,244,Aaron Nola,Philadelphia Phillies,,- Uncommon Rainbow Foil
Base,245,Matt Olson,Atlanta Braves,,- Uncommon Rainbow Foil
Base,246,Giancarlo Stanton,New York Yankees,,- Uncommon Rainbow Foil
Base,247,Corey Seager,Texas Rangers,,- Uncommon Rainbow Foil
Base,248,Carlos Rodón,New York Yankees,,- Uncommon Rainbow Foil
Base,249,Trevor Story,Boston Red Sox,,- Uncommon Rainbow Foil
Base,250,Salvador Perez,Kansas City Royals,,- Uncommon Rainbow Foil
Base,251,Gabriel Moreno,Arizona Diamondbacks,RC,- Rare Blue Foil
Base,252,Brett Baty,New York Mets,RC,- Rare Blue Foil
Base,253,Josh Jung,Texas Rangers,RC,- Rare Blue Foil
Base,254,Oswald Peraza,New York Yankees,RC,- Rare Blue Foil
Base,255,Vaughn Grissom,Atlanta Braves,RC,- Rare Blue Foil
Base,256,Triston Casas,Boston Red Sox,RC,- Rare Blue Foil
Base,257,Joey Votto,Cincinnati Reds,,- Rare Blue Foil
Base,258,Francisco Lindor,New York Mets,,- Rare Blue Foil
Base,259,Julio Urías,Los Angeles Dodgers,,- Rare Blue Foil
Base,260,Francisco Álvarez,New York Mets,RC,- Rare Blue Foil
Base,261,Alex Bregman,Houston Astros,,- Rare Blue Foil
Base,262,Byron Buxton,Minnesota Twins,,- Rare Blue Foil
Base,263,Austin Riley,Atlanta Braves,,- Rare Blue Foil
Base,264,Bo Bichette,Toronto Blue Jays,,- Rare Blue Foil
Base,265,Manny Machado,San Diego Padres,,- Rare Blue Foil
Base,266,Nolan Arenado,St. Louis Cardinals,,- Rare Blue Foil
Base,267,Rafael Devers,Boston Red Sox,,- Rare Blue Foil
Base,268,Jose Altuve,Houston Astros,,- Rare Blue Foil
Base,269,Bobby Witt Jr.,Kansas City Royals,,- Rare Blue Foil
Base,270,Julio Rodríguez,Seattle Mariners,,- Rare Blue Foil
Base,271,Christian Yelich,Milwaukee Brewers,,- Rare Blue Foil
Base,272,Yordan Alvarez,Houston Astros,,- Rare Blue Foil
Base,273,Xander Bogaerts,San Diego Padres,,- Rare Blue Foil
Base,274,Anthony Rizzo,New York Yankees,,- Rare Blue Foil
Base,275,José Ramírez,Cleveland Guardians,,- Rare Blue Foil
Base,276,Adley Rutschman,Baltimore Orioles,(RC),- Super Rare Red Foil
Base,277,Riley Greene,Detroit Tigers,RC,- Super Rare Red Foil
Base,278,Nolan Gorman,St. Louis Cardinals,RC,- Super Rare Red Foil
Base,279,Michael Harris II,Atlanta Braves,RC,- Super Rare Red Foil
Base,280,Mike Trout,Los Angeles Angels,,- Super Rare Red Foil
Base,281,Gunnar Henderson,Baltimore Orioles,RC,- Super Rare Red Foil
Base,282,Corbin Carroll,Arizona Diamondbacks,RC,- Super Rare Red Foil
Base,283,Fernando Tatis Jr.,San Diego Padres,,- Super Rare Red Foil
Base,284,Juan Soto,San Diego Padres,,- Super Rare Red Foil
Base,285,Mookie Betts,Los Angeles Dodgers,,- Super Rare Red Foil
Base,286,Ronald Acuña Jr.,Atlanta Braves,,- Super Rare Red Foil
Base,287,Shohei Ohtani,Los Angeles Angels,,- Super Rare Red Foil
Base,288,Vladimir Guerrero Jr.,Toronto Blue Jays,,- Super Rare Red Foil
Base,289,Bryce Harper,Philadelphia Phillies,,- Super Rare Red Foil
Base,290,Jacob deGrom,Texas Rangers,,- Super Rare Red Foil
Base,291,Gerrit Cole,New York Yankees,,- Super Rare Red Foil
Base,292,Clayton Kershaw,Los Angeles Dodgers,,- Super Rare Red Foil
Base,293,Max Scherzer,New York Mets,,- Super Rare Red Foil
Base,294,Trea Turner,Philadelphia Phillies,,- Super Rare Red Foil
Base,295,Freddie Freeman,Los Angeles Dodgers,,- Super Rare Red Foil
Base,296,Paul Goldschmidt,St. Louis Cardinals,,- Super Rare Red Foil
Base,297,Albert Pujols,St. Louis Cardinals,,- Super Rare Red Foil
Base,298,Miguel Cabrera,Detroit Tigers,,- Super Rare Red Foil
Base,299,Justin Verlander,New York Mets,,- Super Rare Red Foil
Base,300,Aaron Judge,New York Yankees,,- Super Rare Red Foil
Base,301,Babe Ruth,New York Yankees,,- Gold Legendary Foil
Base,302,Jackie Robinson,Brooklyn Dodgers,,
Base,303,Ken Griffey Jr.,Seattle Mariners,,
Base,304,Willie Mays,New York Giants,,
Base,305,Hank Aaron,Atlanta Braves,,
Base,306,Derek Jeter,New York Yankees,,
Base,307,Nolan Ryan,Houston Astros,,
Base,308,Ryne Sandberg,Chicago Cubs,,
Base,309,Cal Ripken Jr.,Baltimore Orioles,,
Base,310,Rickey Henderson,Oakland Athletics,,
8-Bit Ballers,8B-1,Mookie Betts,Los Angeles Dodgers,,
8-Bit Ballers,8B-2,Mike Trout,Los Angeles Angels,,
8-Bit Ballers,8B-3,Shohei Ohtani,Los Angeles Angels,,
8-Bit Ballers,8B-4,Aaron Judge,New York Yankees,,
8-Bit Ballers,8B-5,Juan Soto,San Diego Padres,,
8-Bit Ballers,8B-6,Adley Rutschman,Baltimore Orioles,,
8-Bit Ballers,8B-7,Ronald Acuña Jr.,Atlanta Braves,,
8-Bit Ballers,8B-8,Rafael Devers,Boston Red Sox,,
8-Bit Ballers,8B-9,Gunnar Henderson,Baltimore Orioles,,
8-Bit Ballers,8B-10,Alex Bregman,Houston Astros,,
8-Bit Ballers,8B-11,Bobby Witt Jr.,Kansas City Royals,,
8-Bit Ballers,8B-12,Jazz Chisholm Jr.,Miami Marlins,,
8-Bit Ballers,8B-13,Pete Alonso,New York Mets,,
8-Bit Ballers,8B-14,Bryce Harper,Philadelphia Phillies,,
8-Bit Ballers,8B-15,Julio Rodríguez,Seattle Mariners,,
8-Bit Ballers,8B-16,Albert Pujols,St. Louis Cardinals,,
8-Bit Ballers,8B-17,Vladimir Guerrero Jr.,Toronto Blue Jays,,
8-Bit Ballers,8B-18,Bo Jackson,Kansas City Royals,,
8-Bit Ballers,8B-19,Derek Jeter,New York Yankees,,
8-Bit Ballers,8B-20,Ken Griffey Jr.,Seattle Mariners,,
8-Bit Ballers Autographs,8BA-AJ,Aaron Judge,New York Yankees,/25,
8-Bit Ballers Autographs,8BA-AR,Adley Rutschman,Baltimore Orioles,/25,
8-Bit Ballers Autographs,8BA-BH,Bryce Harper,Philadelphia Phillies,/25,
8-Bit Ballers Autographs,8BA-GH,Gunnar Henderson,Baltimore Orioles,/25,
8-Bit Ballers Autographs,8BA-J,Bo Jackson,Kansas City Royals,/25,
8-Bit Ballers Autographs,8BA-JC,Jazz Chisholm Jr.,Miami Marlins,/25,
8-Bit Ballers Autographs,8BA-JR,Julio Rodríguez,Seattle Mariners,/25,
8-Bit Ballers Autographs,8BA-JS,Juan Soto,San Diego Padres,/25,
8-Bit Ballers Autographs,8BA-MT,Mike Trout,Los Angeles Angels,/25,
8-Bit Ballers Autographs,8BA-PA,Pete Alonso,New York Mets,/25,
8-Bit Ballers Autographs,8BA-RA,Ronald Acuña Jr.,Atlanta Braves,/25,
8-Bit Ballers Autographs,8BA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,/25,
Base Electric Orange Autographs,1,Aaron Judge,New York Yankees,,
Base Electric Orange Autographs,3,Bryce Harper,Philadelphia Phillies,,
Base Electric Orange Autographs,6,Bubba Thompson,Texas Rangers,,
Base Electric Orange Autographs,14,Travis Swaggerty,Pittsburgh Pirates,,
Base Electric Orange Autographs,15,Michael Massey,Kansas City Royals,,
Base Electric Orange Autographs,17,Korey Lee,Houston Astros,,
Base Electric Orange Autographs,21,Liover Peguero,Pittsburgh Pirates,,
Base Electric Orange Autographs,23,Fernando Tatis Jr.,San Diego Padres,,
Base Electric Orange Autographs,24,Reid Detmers,Los Angeles Angels,,
Base Electric Orange Autographs,27,Mike Trout,Los Angeles Angels,,
Base Electric Orange Autographs,28,Nick Lodolo,Cincinnati Reds,,
Base Electric Orange Autographs,30,MacKenzie Gore,Washington Nationals,,
Base Electric Orange Autographs,32,Steven Kwan,Cleveland Guardians,,
Base Electric Orange Autographs,34,Royce Lewis,Minnesota Twins,,
Base Electric Orange Autographs,37,MJ Melendez,Kansas City Royals,,
Base Electric Orange Autographs,42,Joc Pederson,San Francisco Giants,,
Base Electric Orange Autographs,44,Julio Rodríguez,Seattle Mariners,,
Base Electric Orange Autographs,45,Sonny Gray,Minnesota Twins,,
Base Electric Orange Autographs,46,Tyler Stephenson,Cincinnati Reds,,
Base Electric Orange Autographs,48,Cody Bellinger,Chicago Cubs,,
Base Electric Orange Autographs,49,Max Muncy,Los Angeles Dodgers,,
Base Electric Orange Autographs,50,Juan Soto,San Diego Padres,,
Base Electric Orange Autographs,53,Alex Kirilloff,Minnesota Twins,,
Base Electric Orange Autographs,56,Gleyber Torres,New York Yankees,,
Base Electric Orange Autographs,58,Sean Murphy,Atlanta Braves,,
Base Electric Orange Autographs,59,Matt Chapman,Toronto Blue Jays,,
Base Electric Orange Autographs,60,Sean Manaea,San Francisco Giants,,
Base Electric Orange Autographs,61,Starling Marte,New York Mets,,
Base Electric Orange Autographs,63,J.T. Realmuto,Philadelphia Phillies,,
Base Electric Orange Autographs,65,Bryan Reynolds,Pittsburgh Pirates,,
Base Electric Orange Autographs,66,Ke'Bryan Hayes,Pittsburgh Pirates,,
Base Electric Orange Autographs,67,Blake Snell,San Diego Padres,,
Base Electric Orange Autographs,68,Jake Cronenworth,San Diego Padres,,
Base Electric Orange Autographs,70,Kevin Gausman,Toronto Blue Jays,,
Base Electric Orange Autographs,71,Mike Yastrzemski,San Francisco Giants,,
Base Electric Orange Autographs,72,J.P. Crawford,Seattle Mariners,,
Base Electric Orange Autographs,74,Dylan Carlson,St. Louis Cardinals,,
Base Electric Orange Autographs,75,Jack Flaherty,St. Louis Cardinals,,
Base Electric Orange Autographs,76,Shane McClanahan,Tampa Bay Rays,,
Base Electric Orange Autographs,77,Brandon Lowe,Tampa Bay Rays,,
Base Electric Orange Autographs,80,Adolis Garcia,Texas Rangers,,
Base Electric Orange Autographs,81,Mitch Haniger,San Francisco Giants,,
Base Electric Orange Autographs,86,Chris Taylor,Los Angeles Dodgers,,
Base Electric Orange Autographs,87,Stephen Strasburg,Washington Nationals,,
Base Electric Orange Autographs,88,Tarik Skubal,Detroit Tigers,,
Base Electric Orange Autographs,91,Robbie Ray,Seattle Mariners,,
Base Electric Orange Autographs,95,Kyle Wright,Atlanta Braves,,
Base Electric Orange Autographs,101,Kodai Senga,New York Mets,,
Base Electric Orange Autographs,102,Luis Severino,New York Yankees,,
Base Electric Orange Autographs,107,Brandon Nimmo,New York Mets,,
Base Electric Orange Autographs,111,Luke Voit,Washington Nationals,,
Base Electric Orange Autographs,112,Connor Joe,Pittsburgh Pirates,,
Base Electric Orange Autographs,115,Masataka Yoshida,Boston Red Sox,,
Base Electric Orange Autographs,116,Kolten Wong,Seattle Mariners,,
Base Electric Orange Autographs,118,Cedric Mullins,Baltimore Orioles,,
Base Electric Orange Autographs,119,Jose Siri,Tampa Bay Rays,,
Base Electric Orange Autographs,123,Shane Baz,Tampa Bay Rays,,
Base Electric Orange Autographs,127,Ian Anderson,Atlanta Braves,,
Base Electric Orange Autographs,131,Amed Rosario,Cleveland Guardians,,
Base Electric Orange Autographs,132,Patrick Wisdom,Chicago Cubs,,
Base Electric Orange Autographs,136,Whit Merrifield,Toronto Blue Jays,,
Base Electric Orange Autographs,137,Brandon Woodruff,Milwaukee Brewers,,
Base Electric Orange Autographs,140,Logan Webb,San Francisco Giants,,
Base Electric Orange Autographs,141,Jarred Kelenic,Seattle Mariners,,
Base Electric Orange Autographs,142,Kyle Lewis,Arizona Diamondbacks,,
Base Electric Orange Autographs,150,Ronald Acuña Jr.,Atlanta Braves,,
Base Electric Orange Autographs,151,Jorge Polanco,Minnesota Twins,,
Base Electric Orange Autographs,154,Freddy Peralta,Milwaukee Brewers,,
Base Electric Orange Autographs,156,Trey Mancini,Chicago Cubs,,
Base Electric Orange Autographs,160,Joey Bart,San Francisco Giants,,
Base Electric Orange Autographs,161,Zac Gallen,Arizona Diamondbacks,,
Base Electric Orange Autographs,162,Carlos Carrasco,New York Mets,,
Base Electric Orange Autographs,163,DJ LeMahieu,New York Yankees,,
Base Electric Orange Autographs,164,Hyun-Jin Ryu,Toronto Blue Jays,,
Base Electric Orange Autographs,166,Lance Lynn,Chicago White Sox,,
Base Electric Orange Autographs,171,Daulton Varsho,Toronto Blue Jays,,
Base Electric Orange Autographs,173,Thairo Estrada,San Francisco Giants,,
Base Electric Orange Autographs,174,Luis Arraez,Miami Marlins,,
Base Electric Orange Autographs,175,Alejandro Kirk,Toronto Blue Jays,,
Base Electric Orange Autographs,176,Nolan Jones,Colorado Rockies,,
Base Electric Orange Autographs,177,JJ Bleday,Miami Marlins,,
Base Electric Orange Autographs,178,Garrett Mitchell,Milwaukee Brewers,,
Base Electric Orange Autographs,180,Luis Castillo,Seattle Mariners,,
Base Electric Orange Autographs,181,Walker Buehler,Los Angeles Dodgers,,
Base Electric Orange Autographs,184,Brady Singer,Kansas City Royals,,
Base Electric Orange Autographs,185,Vladimir Guerrero Jr.,Toronto Blue Jays,,
Base Electric Orange Autographs,188,Nico Hoerner,Chicago Cubs,,
Base Electric Orange Autographs,192,Jean Segura,Miami Marlins,,
Base Electric Orange Autographs,200,Shohei Ohtani,Los Angeles Angels,,
Base Electric Orange Autographs,201,Alec Burleson,St. Louis Cardinals,,
Base Electric Orange Autographs,203,Logan O'Hoppe,Los Angeles Angels,,
Base Electric Orange Autographs,204,Ezequiel Tovar,Colorado Rockies,,
Base Electric Orange Autographs,206,Max Meyer,Miami Marlins,,
Base Electric Orange Autographs,210,Christopher Morel,Chicago Cubs,,
Base Electric Orange Autographs,212,Shea Langeliers,Oakland Athletics,,
Base Electric Orange Autographs,214,Ken Waldichuk,Oakland Athletics,,
Base Electric Orange Autographs,215,Iván Herrera,St. Louis Cardinals,,
Base Electric Orange Autographs,218,Shane Bieber,Cleveland Guardians,,
Base Electric Orange Autographs,220,Alek Manoah,Toronto Blue Jays,,
